"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d13C_dc","d15N_dc","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
8,"24-315.1",NA,"N2_CO2+He_2.met",5.17,2,0,194.9,273.7,39.884,0.8834393,32,22.4,1471,1022,0.6945844,1.696,"2024/11/15 12:56:16","Bkgrnd 29: 32",315.8,101.9,249.762,1.4891616,0.1,0.2,1.3,6828,7713,9061,1.1074313,1.3256874,-38.349,21.726,3.68597524096655,-38.349,1.696,-1.42878025236897,-1.89927064348107,-26.8650098523258,1.30652694643778,43.6484243135611,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
9,"24-315.2",NA,"N2_CO2+He_2.met",5.108,2,0,194.1,276.4,55.635,1.2472735,32.9,23.1,2049,1424,0.6945964,1.678,"2024/11/15 13:07:41","Bkgrnd 30: N/A",315.3,106.6,279.391,1.6860407,0.2,0.2,1.5,7324,8251,9706,1.1040557,1.3240587,-41.422,20.542,4.01881249960966,-41.422,1.678,-1.49956748302788,-1.97135509138272,-30.096058405473,1.8446221129097,49.4190364786455,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
10,"24-315.3",NA,"N2_CO2+He_2.met",5.089,2,0,193.7,277,53.308,1.1995723,33.6,23.7,1858,1290,0.6945007,1.319,"2024/11/15 13:19:07","Primary He: 2400",314.9,104.4,257.648,1.5606303,0.2,0.3,1.6,7040,7928,9322,1.1034852,1.3237778,-41.852,20.41,3.97608641371748,-41.852,1.319,-1.85179122318144,-2.3300335367815,-30.5481738880156,1.77406752051891,45.7432560540285,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
11,"24-315.4",NA,"N2_CO2+He_2.met",5.2,2,0,193.1,277.3,69.525,1.5311139,34.2,24.1,2591,1803,0.69524,2.85,"2024/11/15 13:30:32","Secondary He: 2500",315.6,103.6,245.188,1.4534568,0.2,0.3,1.6,6759,7618,8946,1.1049384,1.3236359,-40.26,20.605,4.24168640012003,-40.26,2.85,-0.362914775701945,-0.8138725609768,-28.8742951712534,2.26437244146062,42.6018655754647,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
13,"24-315.5",NA,"N2_CO2+He_2.met",5.02,2,0,194,276.2,54.934,1.2531626,34.6,24.3,2034,1413,0.6942674,1.295,"2024/11/15 13:53:24","Peak Center: 58486",315.4,104.8,260,1.596522,0.1,0.2,1.6,7082,7989,9385,1.1048298,1.3244362,-40.435,21.201,4.00613246465595,-40.435,1.295,-1.880556458383,-2.35932591167687,-29.0582956583346,1.85330847952549,46.7953156443091,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
14,"24-315.6",NA,"N2_CO2+He_2.met",5.164,2,0,193.6,276.2,56.434,1.2514733,35.2,24.8,2075,1442,0.6943944,1.83,"2024/11/15 14:04:49","Job No-24-315.1",315.1,105.7,281.594,1.6809059,0.2,0.3,1.5,7374,8305,9765,1.103598,1.3239616,-41.438,20.949,4.03307181375029,-41.438,1.83,-1.3498289777525,-1.81887254075994,-30.112881307149,1.85082265566923,49.2685650434881,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
15,"24-315.7",NA,"N2_CO2+He_2.met",5.076,2,0,195,272.8,38.225,0.8623703,35.6,25,1458,1013,0.694691,2.237,"2024/11/15 14:16:15","Oxygen Tank: 1800",314,108.3,287.859,1.7480905,0.2,0.2,1.8,7587,8582,10044,1.1075706,1.3233986,-37.586,20.653,3.64348975181513,-37.586,2.237,-0.881042150617277,-1.34149492190046,-26.0627677286515,1.27536967809292,51.2378560386714,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
16,"24-315.8",NA,"N2_CO2+He_2.met",5.126,2,0,193.5,276.1,58.255,1.3014393,35.7,25.2,2157,1499,0.6945528,2.071,"2024/11/15 14:27:41","CO2 Peak Center: 9",315.4,103.3,259.731,1.5618913,0.3,0.3,1.9,7016,7923,9287,1.1066264,1.3233792,-38.392,20.738,4.0648299256719,-38.392,2.071,-1.11386574192407,-1.57858514116187,-26.9102214005801,1.92470782298841,45.7802263878061,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
19,"24-315.9",NA,"N2_CO2+He_2.met",5.042,2,0,195.9,281.4,54.706,1.2424967,39.3,27.7,1931,1341,0.6945292,2.381,"2024/11/16 19:17:58",NA,316.8,108.8,267.794,1.6372068,0.1,0.1,2.2,7210,8094,9529,1.0996155,1.3212854,-40.973,21.453,4.00197339262641,-40.973,2.381,-0.793896839037966,-1.25275262171526,-29.6239657271902,1.83756337643117,47.9877901652379,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
20,"24-315.10",NA,"N2_CO2+He_2.met",5.335,2,0,197.2,278.4,36.841,0.7907988,40.5,28.8,1343,933,0.694153,1.698,"2024/11/16 19:29:23",NA,315.9,118,302.323,1.7467956,0.2,0.3,2.3,7665,8641,10125,1.1040007,1.320844,-37.207,20.962,3.60661135542696,-37.207,1.698,-1.41419332099883,-1.88441639809518,-25.6642752452011,1.16951876110027,51.1999474168431,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
21,"24-315.11",NA,"N2_CO2+He_2.met",5.316,2,0,195.2,284.2,74.805,1.6114316,41.2,29.5,2742,1905,0.6944898,2.326,"2024/11/16 19:40:48",NA,315.6,117.4,296.134,1.7171517,0.5,0.6,2.8,7592,8548,10023,1.1025104,1.320522,-38.691,20.721,4.3148847276662,-38.691,2.326,-0.89852386362611,-1.35929699748509,-27.2245993756504,2.38317460147313,50.3310569652714,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
22,"24-315.12",NA,"N2_CO2+He_2.met",5.053,2,0,194.8,280.5,60.536,1.3719343,41.6,29.7,2249,1567,0.6963705,5.118,"2024/11/16 19:52:14",NA,316.1,110.2,275.874,1.6829377,0.5,0.6,2.8,7330,8235,9676,1.1003519,1.3203048,-40.82,20.623,4.10323822939222,-40.82,5.118,1.92704278864138,1.5180498098712,-29.4630967299134,2.02896534591525,49.3280813823105,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
24,"24-315.13",NA,"N2_CO2+He_2.met",5.018,2,0,194.1,278.4,59.334,1.3540721,40.6,28.8,2231,1553,0.6960744,4.616,"2024/11/16 20:15:04",NA,315.1,107.3,277.277,1.7032924,0.3,-0.6,2.3,7413,8338,9798,1.1016294,1.3215779,-40.001,21.516,4.08318249751591,-40.001,4.616,1.4282235820084,1.01008945066268,-28.6019744503731,2.00254911759291,49.9247547093951,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
25,"24-315.14",NA,"N2_CO2+He_2.met",5.174,2,0,194.4,273.7,40.677,0.9003093,40.9,29,1529,1060,0.6929211,0.085,"2024/11/16 20:26:30",NA,315,104.6,255.487,1.5221204,0.3,0.4,2.5,6989,7845,9236,1.100438,1.3219887,-41.498,21.784,3.70566282214828,-41.498,0.085,-3.04290265787487,-3.54297278246179,-30.175967188434,1.33147402313681,44.6144077906161,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
26,"24-315.15",NA,"N2_CO2+He_2.met",5.284,2,0,194.2,275.3,48.873,1.0591828,40.7,28.9,1848,1283,0.6935837,1.027,"2024/11/16 20:37:56",NA,314.7,105.6,267.303,1.5593634,0.3,0.4,2.5,7217,8171,9538,1.1088616,1.3216879,-33.4,21.47,3.88922509675214,-33.4,1.027,-2.13001521627441,-2.61335614664226,-21.6614760776673,1.56644949200772,45.7060588230851,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
27,"24-315.16",NA,"N2_CO2+He_2.met",5.269,2,0,194.8,273.7,37.513,0.8153011,40.7,28.9,1421,987,0.6939972,1.629,"2024/11/16 20:49:22",NA,313.2,109.6,299.839,1.754149,0.3,0.3,2.4,7856,8860,10379,1.1040534,1.3212893,-37.976,21.232,3.62468753956803,-37.976,1.629,-1.48606016260659,-1.95760024144529,-26.472825957004,1.20576814257216,51.415335306889,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
29,"24-315.17",NA,"N2_CO2+He_2.met",5.23,2,0,195,272.4,34.242,0.749759,40.3,28.5,1291,896,0.693431,0.845,"2024/11/16 21:12:12",NA,313.5,107.8,291.467,1.7178821,0.2,0.3,2.3,7697,8683,10180,1.1047611,1.3223891,-37.4,22.06,3.53345296078263,-37.4,0.845,-2.25559056634189,-2.74123273816041,-25.8672014966679,1.10883682549662,50.3524320707437,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
30,"24-315.18",NA,"N2_CO2+He_2.met",5.195,2,0,193.8,280,61.752,1.3612308,40.4,28.6,2177,1509,0.6930113,0.335,"2024/11/16 21:23:38",NA,316.2,107.6,283.953,1.6848717,0.3,0.4,2.4,7163,8046,9472,1.1023719,1.322727,-39.987,22.055,4.12312636364755,-39.987,0.335,-2.85911142412492,-3.35581346727588,-28.5872544114066,2.01314790187754,49.3848409868998,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
31,"24-315.19",NA,"N2_CO2+He_2.met",5.195,2,0,194,279,56.326,1.2416144,40.6,28.8,1990,1380,0.6931685,0.482,"2024/11/16 21:35:03",NA,316,107.2,288.019,1.7089988,0.3,0.4,2.3,7288,8184,9638,1.1014428,1.322428,-40.612,21.948,4.03115624026634,-40.612,0.482,-2.69752517216369,-3.1912660531067,-29.2443990081254,1.83625742844206,50.091995915542,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
32,"24-315.20",NA,"N2_CO2+He_2.met",5.017,2,0,194.9,273.5,38.103,0.8697262,40.5,28.7,1416,982,0.6932639,0.622,"2024/11/16 21:46:29",NA,315.4,103,253.446,1.5572087,0.3,0.3,2.4,6969,7834,9214,1.1019894,1.3222144,-40.184,21.761,3.64029301919029,-40.184,0.622,-2.49553515610858,-2.98557445232722,-28.7943863882923,1.28624967039363,45.6429904136042,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
35,"24-315.21",NA,"N2_CO2+He_2.met",5.198,2,0,193.8,277.9,62.816,1.3838905,39.6,28,2304,1598,0.6934197,0.885,"2024/11/16 22:20:47",NA,315.3,106,286.162,1.6970001,0.2,0.2,2.2,7407,8325,9810,1.1017256,1.3237083,-40.72,22.748,4.14020981809405,-40.72,0.885,-2.31182082106561,-2.79849344506191,-29.3579535944384,2.04665296757019,49.7403042585477,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
36,"24-315.22",NA,"N2_CO2+He_2.met",5.272,2,0,193.4,278.4,74.081,1.6091519,39.9,28.2,2811,1952,0.6942438,2.075,"2024/11/16 22:32:13",NA,314.1,105.9,294.533,1.7221225,0.2,0.3,2.3,7760,8731,10264,1.1015022,1.3223552,-40.827,21.811,4.3051590891669,-40.827,2.075,-1.1479813995256,-1.61332598806486,-29.4704567493967,2.37980647223652,50.4767412800425,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
37,"24-315.23",NA,"N2_CO2+He_2.met",5.307,2,0,194.8,273.7,40.444,0.8727216,40,28.4,1542,1069,0.6927568,-0.051,"2024/11/16 22:43:39",NA,313.1,107,304.395,1.7680504,0.2,0.3,2.3,7995,9025,10570,1.1050085,1.3218305,-37.523,21.444,3.69991830122915,-37.523,-0.051,-3.17799158994931,-3.68053729791982,-25.9965275533022,1.29067001577206,51.8228361162024,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
38,"24-315.24",NA,"N2_CO2+He_2.met",5.164,2,0,194,277.8,56.449,1.2517961,39.8,28.3,2049,1424,0.6947356,2.846,"2024/11/16 22:55:05",NA,315.4,106.2,292.866,1.7481926,0.3,0.4,2.4,7532,8466,9957,1.101428,1.3221145,-40.962,21.47,4.03333757564691,-40.962,2.846,-0.333871126983616,-0.784296670474767,-29.612399982288,1.85131459917553,51.2407493413431,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
40,"24-315.25",NA,"N2_CO2+He_2.met",5.18,2,0,194.5,277.2,50.709,1.1210324,39.2,27.8,1813,1257,0.6931512,0.543,"2024/11/16 23:17:57",NA,316.1,105.1,279.739,1.6646764,0.2,0.3,2.3,7221,8114,9557,1.1019008,1.3232006,-40.51,22.44,3.92610340963615,-40.51,0.543,-2.61986403264928,-3.112181727965,-29.1371530099409,1.65792733953631,48.7928300498793,0,0,0,0,0,"241115_24-315.1-24-320.2.xls"
