"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","ln_AreaC","d13C_dc","d15N_dc","d15N_lc","d13C_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-252.22",NA,"N2_CO2+He_2.met",5.257,2,0,193.3,278.1,70.874,1.4952593,29.1,20.7,2771,1937,0.6983885,7.853,"2024/11/21 13:05:41","Bkgrnd 30: N/A",312.2,116.3,274.903,1.6236187,0.1,0.1,1.3,7622,8613,10100,1.10615,1.3246823,-37.137,22.504,4.26090365260094,5.61641830817095,-37.137,7.853,4.502,1.34875,4.29759106338705,-25.9486155599028,2.29496267158569,47.5719020492487,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
8,"24-252.23",NA,"N2_CO2+He_2.met",5.428,2,0,193.4,274.9,49.797,1.1386921,29.8,21.3,1870,1304,0.6968602,5.769,"2024/11/21 13:17:07","Primary He: 2400",312.5,114.5,307.154,1.8905937,0.2,0.3,1.9,7849,8855,10387,1.1052215,1.3232889,-38.059,21.376,3.90795474125219,5.72734925047809,-38.059,5.769,2.418,0.426750000000006,2.19322686800929,-26.8899011114216,1.56167263188496,51.4784367463653,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
9,"24-252.24",NA,"N2_CO2+He_2.met",5.008,2,0,194.8,275.3,39.413,0.8517505,30.1,21.6,1396,972,0.6964178,5.097,"2024/11/21 13:28:32","Secondary He: 2500",314.4,112.2,281.894,1.6398245,0.3,-0.4,2,7269,8188,9616,1.104829,1.3231295,-38.726,21.419,3.67409571112119,5.64153111375024,-38.726,5.097,1.746,-0.240249999999996,1.51466029445178,-27.5708528065008,1.33968233822825,51.2071406162185,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
10,"24-252.25",NA,"N2_CO2+He_2.met",5.299,2,0,194.2,281.6,45.258,10.8654276,29.8,21.4,1538,1073,0.696978,5.989,"2024/11/21 13:39:58","CO2 Reference Tank: 900",315.2,113.3,298.438,19.2860012,0.3,0.4,2.1,7179,8059,9495,1.1024902,1.3230417,-40.491,21.404,3.81237945009955,5.69856220606632,-40.491,5.989,2.638,-2.00525,2.41537663911443,-29.3727714598964,1.4538784433968,51.2352919293148,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
12,"24-252.26",NA,"N2_CO2+He_2.met",5.159,2,0,193.2,274.2,52.56,1.1726026,29.4,21,2068,1443,0.6974362,6.613,"2024/11/21 14:02:49","Job No-24-252.2 rerun2",311.2,115.8,285.346,1.7135862,0.1,0.1,1.8,7650,8650,10123,1.1064338,1.3229575,-36.982,21.329,3.96195537417635,5.65370247901168,-36.982,6.613,3.262,1.50375,3.04547417170355,-25.7903734118709,1.73426910485106,50.3170619958843,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
13,"24-252.27",NA,"N2_CO2+He_2.met",5.133,2,0,194.2,278.8,55.758,1.3321968,30.1,21.5,1993,1390,0.6971421,6.322,"2024/11/21 14:14:15","Oxygen Tank: 1800",315.3,110.2,268.27,1.7253228,0.3,0.4,2.1,6935,7811,9171,1.1059364,1.3232998,-37.311,21.556,4.02102089780326,5.59199393604749,-37.311,6.322,2.971,1.17475,2.75163061083266,-26.1262551325322,1.84910929638586,47.5455481498016,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
14,"24-252.28",NA,"N2_CO2+He_2.met",4.793,2,0,193.7,278,56.266,1.2827714,30.1,21.6,2035,1419,0.6968944,5.922,"2024/11/21 14:25:41","CO2 Peak Center: 9",314.7,110.4,268.794,1.6495398,0.3,0.4,2.1,7025,7914,9290,1.1050394,1.3230808,-38.211,21.359,4.03009044508232,5.5939452869713,-38.211,5.922,2.571,0.274750000000004,2.34772193609605,-27.0450805082013,1.99832108879476,51.0177328036826,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
15,"24-252.29",NA,"N2_CO2+He_2.met",5.023,2,0,194,276.8,51.552,15.8695907,30.3,21.7,1904,1326,0.6958622,4.436,"2024/11/21 14:37:06","N2 Reference Tank: 800",314.2,111,270.707,22.4316977,0.3,0.4,2.2,7200,8116,9519,1.1047406,1.322657,-38.726,21.044,3.94259100699456,5.60103705517029,-38.726,4.436,1.085,-0.240249999999996,0.847201209449528,-27.5708528065008,1.74706474255124,49.0281291621142,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
18,"24-252.30",NA,"N2_CO2+He_2.met",4.858,2,0,193.3,277,61.428,1.4332258,30,21.5,2301,1585,0.6944147,5.063,"2024/11/21 14:59:58",NA,314.3,111.6,260.413,1.6251214,0.4,0.6,2.3,6950,7828,9021,1.1077759,1.3252989,-36.618,22.065,4.11786575726345,5.56226883228338,-36.618,5.063,1.712,1.86775,1.48032805709917,-25.418759593267,2.15246215265844,48.7656664664752,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
19,"24-252.31",NA,"N2_CO2+He_2.met",4.765,2,0,195.5,275.6,61.562,1.4795174,26.5,18.6,2424,1690,0.697069,5.565,"2024/11/22 09:48:49",NA,314.9,101.9,263.983,1.7077277,0,0,1.1,7343,8295,9719,1.1062879,1.3237088,-38.3,20.841,4.12004479707191,5.57588470713354,-38.3,5.565,2.214,0.185750000000006,1.98723344389362,-27.1359421286841,2.19925948830508,50.3990173345329,0,0,0,0,0,"241121_24-252.2-RERUN-2.xls"
