"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
8,"24-251.1",NA,"N2_CO2+He_2.met",5.28,2,0,193.7,282.2,111.066,2.4088795,37.8,27.2,4124,2879,0.6980104,6.851,"2024/09/30 15:35:30","Bkgrnd 29: 32",316.4,102.2,267.778,1.5633137,0.2,0.2,1.8,7325,8377,9716,1.121531,1.3247228,-24.835,20.75,4.7101246192056,6.851,2.76736233750424,-12.0888612424886,3.43854850372048,45.3736106196785,0,0,0,0,0,"240930_24-251-252.xls"
9,"24-251.2",NA,"N2_CO2+He_2.met",5.256,2,0,193.1,281.7,114.402,2.4925644,38.4,27.7,4235,2964,0.7000246,9.636,"2024/09/30 15:46:56","Bkgrnd 30: N/A",315.7,102.2,267.392,1.5681885,0.2,0.3,1.9,7309,8358,9673,1.1216348,1.322933,-24.692,19.508,4.73971856131036,9.636,5.74050973434146,-11.933697077707,3.55800215310616,45.5150916770072,0,0,0,0,0,"240930_24-251-252.xls"
10,"24-251.3",NA,"N2_CO2+He_2.met",5.16,2,0,193.3,283.1,122.616,2.7212339,38.8,28.1,4495,3120,0.6940684,1.076,"2024/09/30 15:58:22","Primary He: 2400",316.4,101.4,258.767,1.5458433,0.2,0.3,2,7161,8183,9473,1.1212795,1.3226712,-24.988,19.385,4.80905752069661,1.076,-3.39778172595534,-12.2548760481641,3.88441291070099,44.866434514896,0,0,0,0,0,"240930_24-251-252.xls"
11,"24-251.4",NA,"N2_CO2+He_2.met",5.018,2,0,193.6,281.9,110.756,2.5275621,39.1,28.2,4094,2856,0.697498,6.11,"2024/09/30 16:09:47","Secondary He: 2500",316.4,101.3,256.025,1.5727435,0.2,0.3,2.1,7074,8087,9360,1.1213146,1.3228454,-24.995,19.515,4.70732958353001,6.11,1.97630229403696,-12.2624714967898,3.60798357514372,45.647194064508,0,0,0,0,0,"240930_24-251-252.xls"
13,"24-251.5",NA,"N2_CO2+He_2.met",5.343,2,0,193.6,282.9,116.175,2.489978,39.1,28.2,4303,3003,0.6979925,6.837,"2024/09/30 16:32:38","Peak Center: 58486",316,101.2,266.62,1.5382032,0.2,0.2,2,7371,8420,9759,1.1213557,1.3236149,-24.971,20.198,4.75509767497104,6.837,2.75241653371404,-12.2364299586446,3.5543112250505,44.644700995554,0,0,0,0,0,"240930_24-251-252.xls"
14,"24-251.6",NA,"N2_CO2+He_2.met",5.154,2,0,193.6,282.5,107.889,2.3971797,39.4,28.5,3915,2723,0.6956837,3.515,"2024/09/30 16:44:04","Job No-24-251-252",316.6,102,261.526,1.5641414,0.2,0.3,1.4,7166,8187,9486,1.1213946,1.3236007,-24.783,19.914,4.68110292082069,3.515,-0.794009194218904,-12.0324379098408,3.42184788651871,45.3975928890768,0,0,0,0,0,"240930_24-251-252.xls"
15,"24-251.7",NA,"N2_CO2+He_2.met",5.325,2,0,195.6,274.8,34.105,0.733447,39.9,28.8,1213,844,0.6963918,4.454,"2024/09/30 16:55:30","Oxygen Tank: 1800",316.5,103,241.994,1.4008498,0.3,0.3,2.1,6569,7385,8695,1.105041,1.3236418,-40.091,20.407,3.52944400110668,5.12771328183473,0.927654825792489,-28.6425989901067,1.04695107680484,40.6581257604819,0,0,0,0,0,"240930_24-251-252.xls"
16,"24-251.8",NA,"N2_CO2+He_2.met",5.134,2,0,195.1,278.1,53.704,1.197886,40,29,1929,1343,0.6966182,5.121,"2024/09/30 17:06:56","CO2 Peak Center: 9",317.2,103.2,249.826,1.4999856,0.4,0.4,1.4,6745,7585,8929,1.1041285,1.323791,-40.963,20.502,3.98348748663645,5.26945107150509,1.07896805394039,-29.5887748760482,1.70993151233768,43.5355603718041,0,0,0,0,0,"240930_24-251-252.xls"
19,"24-251.9",NA,"N2_CO2+He_2.met",5.008,2,0,195.7,276.8,44.566,1.0190723,38.5,27.7,1588,1104,0.6952192,3.013,"2024/09/30 17:41:14",NA,317.2,102.4,234.041,1.4405684,0.2,0.2,1.9,6400,7198,8486,1.1059929,1.3256339,-39.335,21.836,3.79697123646478,3.37722321877698,-0.94109381843357,-27.8222905385336,1.45467937705365,41.8109459777247,0,0,0,0,0,"240930_24-251-252.xls"
20,"24-251.10",NA,"N2_CO2+He_2.met",5.259,2,0,196,276.1,39.394,0.8578093,38.9,28.2,1402,976,0.6965398,4.919,"2024/09/30 17:52:40",NA,317.4,103.7,249.206,1.4606982,0.3,0.3,2.1,6675,7501,8849,1.1045023,1.3250212,-40.596,21.536,3.6736135204435,5.42593013704263,1.24601844042601,-29.1905563552448,1.22448890937008,42.3952980025215,0,0,0,0,0,"240930_24-251-252.xls"
