"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d13C_dc","d15N_dc","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
8,"24-315.32",NA,"N2_CO2+He_2.met",5.104,2,0,193.6,273.4,55.198,1.2384553,34.3,24,2072,1439,0.6938855,0.853,"2024/11/14 12:25:02","Bkgrnd 29: 32",315.4,101.4,264.319,1.5963315,0.1,0.2,1.4,7079,7973,9390,1.1056215,1.3250862,-39.289,21.874,4.0109267207426,-39.289,0.853,-2.17258426500202,-2.7743336716309,-28.0805543677122,1.83979961373611,46.7186808147246,0,0,0,0,0,"241114_24-315.2-320.xls"
9,"24-315.33",NA,"N2_CO2+He_2.met",5.056,2,0,193.2,274.4,59.987,1.3586705,35.3,24.8,2245,1558,0.6935739,0.408,"2024/11/14 12:36:28","Bkgrnd 30: N/A",315.7,101.3,260.502,1.5882148,0.2,0.2,1.7,6979,7865,9249,1.1057403,1.3247528,-39.317,21.493,4.09412787207982,-39.317,0.408,-2.6683128065418,-3.29534244966644,-28.1098646593339,2.01840319372188,46.4811485565601,0,0,0,0,0,"241114_24-315.2-320.xls"
10,"24-315.34",NA,"N2_CO2+He_2.met",5.118,2,0,194.6,272.6,39.796,0.8904456,36.1,25.3,1476,1023,0.6932546,-0.113,"2024/11/14 12:47:54","Primary He: 2400",315.3,99.7,259.46,1.5626991,0.2,0.2,1.6,7158,8085,9483,1.1073177,1.3243494,-37.704,21.163,3.68376640472711,-37.704,-0.113,-2.93911147629156,-3.57995080322571,-26.4213825027002,1.32280853245255,45.7344000724232,0,0,0,0,0,"241114_24-315.2-320.xls"
11,"24-315.35",NA,"N2_CO2+He_2.met",5.021,2,0,194.9,271.7,31.962,0.7289752,36.6,25.6,1162,805,0.6928623,-0.478,"2024/11/14 12:59:20","Secondary He: 2500",314.8,102.5,278.483,1.7096771,0.2,0.3,1.7,7355,8267,9740,1.102308,1.324061,-42.235,21.017,3.46454769716292,-42.235,-0.478,-3.17045172358102,-3.82308850753529,-31.1644157647629,1.08293296167116,50.0358545931774,0,0,0,0,0,"241114_24-315.2-320.xls"
13,"24-315.36",NA,"N2_CO2+He_2.met",5.335,2,0,194.5,276.7,39.975,0.8580576,37.1,25.9,1397,967,0.6921467,-1.219,"2024/11/14 13:22:11","Peak Center: 58486",315.5,107.9,296.596,1.713708,0.1,0.2,1.6,7314,8220,9695,1.1028918,1.3248224,-41.879,21.529,3.68825425872002,-41.879,-1.219,-4.04784776399966,-4.74522834933631,-30.7917563427161,1.27471147562955,50.15378573668,0,0,0,0,0,"241114_24-315.2-320.xls"
14,"24-315.37",NA,"N2_CO2+He_2.met",5.27,2,0,194.6,274.5,40.898,0.8886975,37.7,26.4,1469,1018,0.6928642,-0.348,"2024/11/14 13:33:37","Job No-24-315-320",314.5,104.3,298.135,1.7438444,0.2,0.2,1.6,7665,8640,10153,1.1047313,1.3240794,-40.098,20.963,3.71108116209762,-40.098,-0.348,-3.19076554635728,-3.84443825663188,-28.9274124363524,1.32022910371229,51.0358324281297,0,0,0,0,0,"241114_24-315.2-320.xls"
15,"24-315.38",NA,"N2_CO2+He_2.met",5.2,2,0,194.3,273.4,47.919,1.0552839,38,26.6,1812,1256,0.6931158,0.07,"2024/11/14 13:45:03","Oxygen Tank: 1800",313.5,101.8,286.612,1.6990145,0.2,0.3,1.7,7717,8694,10214,1.1034011,1.3232521,-41.018,20.691,3.86951208547593,-41.018,0.07,-2.86936240287441,-3.50664479708511,-29.8904648753499,1.56769744184199,49.7237507018027,0,0,0,0,0,"241114_24-315.2-320.xls"
16,"24-320.1",NA,"N2_CO2+He_2.met",5.411,2,0,193.6,274.4,60.662,1.2838234,38.1,26.7,2331,1619,0.6941749,1.663,"2024/11/14 13:56:28","CO2 Peak Center: 9",313.3,101.1,279.326,1.591254,0.2,0.3,1.8,7573,8549,10024,1.1060684,1.3233215,-38.589,20.657,4.10531747237303,-38.589,1.663,-1.42013521337349,-1.98351263133877,-27.3477970771706,1.90720351160754,46.5700476866014,0,0,0,0,0,"241114_24-315.2-320.xls"
19,"24-320.2",NA,"N2_CO2+He_2.met",5.47,2,0,193.4,277.1,73.133,1.5310564,37.9,26.5,2709,1880,0.6935815,0.727,"2024/11/14 14:30:46",NA,314.1,103,299.202,1.686101,0.1,0.2,1.7,7821,8820,10365,1.1046606,1.3242176,-39.705,21.481,4.29227970127749,-39.705,0.727,-2.47012788105795,-3.08705086021976,-28.5160215575198,2.27448936043161,49.3457802323946,0,0,0,0,0,"241114_24-315.2-320.xls"
20,"24-320.3",NA,"N2_CO2+He_2.met",5.223,2,0,195.4,274.2,35.872,0.7864971,38.4,27,1292,896,0.69324,0.27,"2024/11/14 14:42:12",NA,314.1,104.6,296.17,1.7479409,0.2,0.2,1.8,7635,8635,10113,1.1081267,1.3241423,-36.576,21.344,3.57995704688975,-36.576,0.27,-2.4928179132022,-3.11089799616304,-25.2405964687989,1.16840501398446,51.1556837498377,0,0,0,0,0,"241114_24-315.2-320.xls"
