"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d13C_dc","d15N_dc","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-251.1",NA,"N2_CO2+He_2.met",5.117,2,0,192.6,279.4,99.616,2.2293714,32.1,22.5,3792,2646,0.6972919,6.179,"2024/11/17 12:35:28","Bkgrnd 29: 32",314.7,103.9,252.616,1.5217788,0.1,0.1,1.8,6976,7969,9241,1.11943,1.324035,-24.629,22.931,4.6013227942592,-24.629,6.179,3.05164516330989,2.50342829412611,-11.8067401013584,3.30913182471959,44.8072872157955,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
8,"24-251.2",NA,"N2_CO2+He_2.met",5.113,2,0,192.5,280.5,109.475,2.451929,33.2,23.4,4185,2927,0.6990425,8.814,"2024/11/17 12:46:54","Bkgrnd 30: N/A",314.5,103.5,258.535,1.5586505,0.2,0.2,2,7134,8152,9440,1.1195804,1.3230738,-24.465,22.085,4.69569621268746,-24.465,8.814,5.65330506319283,5.21772079474497,-11.626508226691,3.6394817623588,45.8930336457976,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
9,"24-251.3",NA,"N2_CO2+He_2.met",5.09,2,0,191.9,281.1,118.67,2.6698769,34,24,4523,3137,0.6932183,0.65,"2024/11/17 12:58:19","Primary He: 2400",314,103.3,252.288,1.5278664,0.2,0.3,2.1,7027,8029,9294,1.1192474,1.3227606,-24.881,21.709,4.77634653167705,-24.881,0.65,-2.53918696087886,-3.32944544451567,-12.0836817624326,3.96299520021951,44.9864813165672,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
10,"24-251.4",NA,"N2_CO2+He_2.met",5.477,2,0,192.1,280.4,116.822,2.4425762,34.7,24.5,4509,3142,0.6967517,5.548,"2024/11/17 13:09:45","Secondary He: 2500",313.2,104.5,278.924,1.5698154,0.2,0.3,2.1,7536,8616,9966,1.1193597,1.3223617,-24.792,21.415,4.76065140882172,-24.792,5.548,2.36435778864978,1.78638646752383,-11.9858730011802,3.62561998839862,46.2217471745963,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
12,"24-251.5",NA,"N2_CO2+He_2.met",5.268,2,0,192.2,279.6,110.401,2.3999146,35.2,24.8,4244,2958,0.6966537,5.624,"2024/11/17 13:32:35","Peak Center: 58486",313.7,102.4,259.966,1.5211654,0.1,0.2,1.9,7203,8232,9538,1.1195147,1.3234942,-24.644,22.315,4.70411919177299,-24.644,5.624,2.46032940573894,1.88651294468138,-11.8232247240414,3.56227651087218,44.7892715886142,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
13,"24-251.6",NA,"N2_CO2+He_2.met",5.261,2,0,192.5,279.5,105.221,2.2903523,35.6,25.1,3957,2749,0.6946144,2.416,"2024/11/17 13:44:01","Job No-24-3251-252.1-rerun",314.3,101.9,261.355,1.5313261,0.2,0.3,2.1,7194,8224,9519,1.1198724,1.3230297,-24.376,21.807,4.6560629001541,-24.376,2.416,-0.73069333943113,-1.44265744646354,-11.5286994654386,3.39965236004904,45.0884935298804,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
14,"24-251.7",NA,"N2_CO2+He_2.met",5.172,2,0,194.8,270.8,30.339,0.6717472,35.9,25.4,1124,781,0.6940569,1.586,"2024/11/17 13:55:27","Oxygen Tank: 1800",315.4,100.9,237.146,1.4133962,0.2,0.3,2.2,6530,7339,8638,1.1033069,1.3235228,-39.814,22.293,3.41243401358814,-39.814,1.586,-1.1213459863616,-1.85022245907645,-28.4946731307708,0.997110138335633,41.6160159607824,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
15,"24-251.8",NA,"N2_CO2+He_2.met",5.498,2,0,193.3,274.7,60.147,1.2527912,36.2,25.7,2325,1617,0.695177,3.126,"2024/11/17 14:06:53","CO2 Peak Center: 9",314.1,102.7,267.349,1.4989223,0.3,0.4,2.4,7268,8179,9614,1.1023781,1.322747,-40.582,21.737,4.09679156586515,-40.582,3.126,0.176885201097953,-0.495787478412929,-29.3386858121399,1.85955754067031,44.1343812615952,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
18,"24-251.9",NA,"N2_CO2+He_2.met",5.45,2,0,194,272.9,46.295,0.9727611,35.5,25.1,1759,1221,0.6938694,1.484,"2024/11/17 14:41:11",NA,314.7,101.3,252.978,1.4308422,0.1,0.2,2,6926,7798,9172,1.1041119,1.3239618,-39.008,22.549,3.83503396390001,-39.008,1.484,-1.37264146476555,-2.11239717011457,-27.6088994052716,1.4439028461817,42.1298066945319,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
19,"24-251.10",NA,"N2_CO2+He_2.met",5.28,2,0,194.2,270.7,33.962,0.7365968,36.6,26.1,1270,883,0.6949697,3.078,"2024/11/17 14:52:37",NA,314.9,100.8,244.546,1.4276858,0.5,0.6,2.3,6721,7552,8894,1.1028011,1.3236907,-40.284,22.32,3.52524225252411,-40.284,3.078,0.330801287703566,-0.335207965457751,-29.0111913081711,1.09335128931893,42.0368199823172,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
20,"24-252.1",NA,"N2_CO2+He_2.met",4.861,2,0,193.4,273.3,47.815,1.126427,37.2,26.6,1792,1247,0.6958776,4.488,"2024/11/17 15:04:03",NA,313.1,101.2,261.77,1.6599677,0.7,0.8,2.8,7263,8188,9607,1.1041944,1.3226117,-38.908,21.403,3.86733939780151,-38.908,4.488,1.61994571986187,1.00974687071407,-27.4990019207183,1.67201021096926,48.8762036678177,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
21,"24-252.2",NA,"N2_CO2+He_2.met",4.995,2,0,193.3,273.6,54.465,1.2486683,36.3,25.8,2123,1481,0.6972442,6.218,"2024/11/17 15:15:30",NA,312,102,271.558,1.6758405,0.3,0.4,2.2,7515,8478,9936,1.1046877,1.3221448,-38.293,20.983,3.99755829353441,-38.293,6.218,3.30394218313327,2.76664790590776,-26.8231323907158,1.85345651697366,49.3435422097838,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
23,"24-252.3",NA,"N2_CO2+He_2.met",4.944,2,0,193.3,273.7,58.833,1.3627342,35.9,25.3,2275,1596,0.7012255,12.013,"2024/11/17 15:38:22",NA,312.5,101.1,270.95,1.6893356,0.2,0.2,2,7460,8417,9872,1.1043701,1.3227429,-38.563,21.47,4.07470292196681,-38.563,12.013,9.07168864417849,8.78409506162188,-27.1198555990096,2.02275330123247,49.7409307138901,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
24,"24-252.4",NA,"N2_CO2+He_2.met",5.007,2,0,192.7,276.5,68.87,1.5751507,36.1,25.5,2537,1781,0.7016251,12.635,"2024/11/17 15:49:48",NA,313.5,102.2,275.897,1.6985399,0.2,0.3,2.2,7339,8248,9707,1.1018853,1.3225682,-40.848,21.581,4.23222066955661,-40.848,12.635,9.63804100989416,9.37496628927119,-29.6310131210515,2.3380450656266,50.0118132355431,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
25,"24-252.5",NA,"N2_CO2+He_2.met",4.919,2,0,194.4,274.4,33.177,0.7723836,36.2,25.7,1139,792,0.6957817,3.955,"2024/11/17 16:01:14",NA,314.1,104.4,275.617,1.7271717,0.3,0.3,2.3,7064,7938,9342,1.1030445,1.3227666,-39.831,21.758,3.50185686476133,-39.831,3.955,1.21606284251712,0.588378856718636,-28.5133557031449,1.14646467180836,50.8548517511416,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
26,"24-252.6",NA,"N2_CO2+He_2.met",5.019,2,0,193.2,274.5,47.648,1.0871713,36.1,25.5,1740,1213,0.6968707,5.763,"2024/11/17 16:12:40",NA,313.2,102,273.098,1.6772833,0.2,0.3,2.2,7283,8198,9631,1.1035872,1.3222369,-39.311,21.548,3.8638406565016,-39.311,5.763,2.89618174995557,2.3412344666365,-27.9418887834679,1.61371883006587,49.3860779883669,0,0,0,0,0,"241117_24-251-252.1-RERUN.xls"
