"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","ln_AreaC","d13C_dc","d15N_dc","d15N_lc","d13C_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
7,"24-364.32",NA,"N2_CO2+He_2.met",5.244,2,0,198.1,271.8,30.146,0.6583201,23.7,16.8,1161,805,0.6934527,-0.688,"2024/12/02 15:08:51","Bkgrnd 29: 32",315.7,107.3,295.992,1.7398948,0,0.1,1.1,7872,8900,10452,1.107324,1.3268501,-39.225,20.702,3.40605224438834,5.6903324269318,-39.225,-0.593442307692307,-4.35551522172754,-0.783000000000001,-5.13256989052798,-28.3529268779083,0.988788970703543,49.7561349589394,0,0,0,0,0,"241202_24-364.2.xls"
8,"24-364.33",NA,"N2_CO2+He_2.met",5.396,2,0,197.1,272.6,38.195,0.8105861,24.3,17.3,1459,1015,0.6953702,2.185,"2024/12/02 15:20:16","Bkgrnd 30: N/A",314.4,103.7,320.078,1.8284761,0.2,0.2,1.4,8367,9454,11096,1.1066759,1.3256319,-39.087,20.714,3.64270461699332,5.76856471609157,-39.087,2.29306593406593,-1.58050733053533,-0.645000000000003,-2.17912639852946,-28.2077103922003,1.21750618202004,52.2893484850433,0,0,0,0,0,"241202_24-364.2.xls"
9,"24-364.34",NA,"N2_CO2+He_2.met",5.359,2,0,193.7,276.5,97.008,2.0729672,24.3,17.3,3797,2647,0.6968092,4.459,"2024/12/02 15:31:42","Primary He: 2400",314.2,98.9,278.111,1.5997086,0.2,0.3,1.4,7712,8744,10216,1.1105384,1.3248408,-36.037,19.356,4.57479344932938,5.6280203145749,-36.037,4.58057417582418,0.462089285714284,2.405,-0.00518891093232282,-24.9982155993796,3.11358262851293,45.7471198111049,0,0,0,0,0,"241202_24-364.2.xls"
10,"24-364.35",NA,"N2_CO2+He_2.met",4.964,2,0,193.9,273.8,65.29,1.5061968,24.3,17.4,2505,1742,0.6950081,1.785,"2024/12/02 15:43:08","Secondary He: 2500",314.3,100.7,285.651,1.773819,0.2,0.3,1.5,7712,8712,10218,1.1072834,1.3248471,-38.764,19.705,4.17883888519854,5.65477078595202,-38.764,1.92008241758242,-2.19840247252747,-0.322000000000003,-2.83675277560984,-27.8678196321737,2.26230678218205,50.7263160075431,0,0,0,0,0,"241202_24-364.2.xls"
12,"24-364.36",NA,"N2_CO2+He_2.met",5.074,2,0,193.5,276.4,68.028,1.535345,24.4,17.4,2456,1709,0.6955703,2.681,"2024/12/02 16:05:59","Peak Center: 58486",315.2,103.2,288.174,1.7506932,0.1,0.2,1.4,7434,8381,9866,1.1073996,1.3263516,-39.053,20.399,4.21991938513017,5.66356446436741,-39.053,2.8430989010989,-1.27538598901099,-0.610999999999997,-1.85438546959186,-28.1719324174607,2.3060771993802,50.0649375569495,0,0,0,0,0,"241202_24-364.2.xls"
13,"24-364.37",NA,"N2_CO2+He_2.met",5.247,2,0,194.2,275.3,56.714,1.2377827,25,17.8,2069,1436,0.6939264,0.841,"2024/12/02 16:17:25","Job No-24-364.2",315.3,102.6,287.718,1.6902898,0.2,0.3,1.5,7526,8486,9976,1.1064975,1.3250528,-38.956,20.587,4.03802109383581,5.66198083377244,-38.956,1.01660714285714,-3.04322212783133,-0.514000000000003,-3.73589512428173,-28.0698599601152,1.85915593079702,48.3376258160791,0,0,0,0,0,"241202_24-364.2.xls"
14,"24-364.38",NA,"N2_CO2+He_2.met",4.936,2,0,195,273.5,41.393,0.9603241,25.1,17.9,1499,1044,0.6965163,4.565,"2024/12/02 16:28:51","Oxygen Tank: 1800",314.4,102.4,286.03,1.7862478,0.2,0.3,1.6,7503,8450,9953,1.1055927,1.326795,-41.643,19.525,3.72311178440967,5.65609670042364,-41.643,4.75411538461539,0.842657744479423,-3.201,0.399850455394277,-30.8973722579216,1.44240876959948,51.0817517361568,0,0,0,0,0,"241202_24-364.2.xls"
15,"24-364.39",NA,"N2_CO2+He_2.met",4.996,2,0,193.8,273.2,60.251,1.3810578,24.8,17.8,2275,1581,0.6946845,1.222,"2024/12/02 16:40:17","CO2 Peak Center: 9",314.7,99.9,275.827,1.7018449,0.2,0.3,1.7,7504,8449,9950,1.1042802,1.326351,-42.885,19.202,4.0985191697434,5.61977385759443,-42.885,1.42462362637363,-2.66370971802437,-4.443,-3.33197971184826,-32.2043206292932,2.07433278469201,48.6680217125015,0,0,0,0,0,"241202_24-364.2.xls"
18,"24-364.40",NA,"N2_CO2+He_2.met",4.984,2,0,192.5,273,74.231,1.7055882,24.5,17.5,2852,1983,0.6951291,2.065,"2024/12/02 17:14:34",NA,313.4,99.2,277.547,1.7165833,0.1,0.1,1.5,7593,8545,10075,1.1041256,1.3268857,-43.116,19.456,4.30718185268091,5.62599028821449,-43.116,2.30814835164835,-1.81033653846154,-4.674,-2.42373383931379,-32.4474003988478,2.56179208335673,49.0894143297725,0,0,0,0,0,"241202_24-364.2.xls"
19,"24-364.41",NA,"N2_CO2+He_2.met",5.064,2,0,193.4,273.7,70.683,1.5984065,25,17.9,2709,1885,0.6956008,2.545,"2024/12/02 17:25:59",NA,315,97.4,258.501,1.5735302,0.2,0.2,1.7,7225,8145,9589,1.1063822,1.327402,-41.048,19.73,4.25820509137247,5.55489956241296,-41.048,2.80165659340659,-1.3168282967033,-2.606,-1.89849255639898,-30.2712576999778,2.40081048271998,44.9984834593974,0,0,0,0,0,"241202_24-364.2.xls"
20,"24-364.42",NA,"N2_CO2+He_2.met",5.081,2,0,194.1,277.1,60.721,1.368541,24.9,17.9,2138,1486,0.6948338,1.369,"2024/12/02 17:37:25",NA,316,104.6,291.413,1.7679348,0.2,0.3,1.7,7303,8219,9693,1.1062972,1.3273695,-41.092,19.81,4.10628960198997,5.67474150498289,-41.092,1.63916483516484,-2.45282960043628,-2.65,-3.1075398056198,-30.3175586084644,2.05554184417982,50.5579055074993,0,0,0,0,0,"241202_24-364.2.xls"
21,"24-364.43",NA,"N2_CO2+He_2.met",4.959,2,0,195.8,271.2,30.647,0.7077206,25.1,17.9,1088,756,0.6947184,1.155,"2024/12/02 17:48:52",NA,315,100.3,274.71,1.7075998,0.2,0.3,1.8,7371,8309,9778,1.1063708,1.3267333,-40.821,19.516,3.42253477830951,5.61571599578775,-40.821,1.43867307692308,-2.33116569337718,-2.379,-2.97805279563496,-30.032387103922,1.06299313983592,48.8325841976959,0,0,0,0,0,"241202_24-364.2.xls"
6,"UU-CN-3","RM","N2_CO2+He_2.met",0.445,2,0,194.6,268,26.663,6.861417,23.2,16.4,949,668,0.7028867,12.82,"2024/12/02 14:57:26","Bkgrnd 28: 45",319.3,73.1,22.28,1.5433091,0.2,0.3,1.3,761,856,1018,1.1240091,1.3399274,-23.822,31.081,3.28327683655178,3.10368941505908,-23.822,12.9010494505495,9.19682299232607,14.62,9.29119633611987,-12.1444520274762,10.3058923895361,44.135141414586,0,0,0,0,0,"241202_24-364.2.xls"
22,"UU-CN-3","RM","N2_CO2+He_2.met",0.513,2,0,192.7,267.4,32.037,7.1516152,24.6,17.7,1120,788,0.7026736,12.672,"2024/12/02 18:00:17",NA,317.6,74.2,25.999,1.5622323,0.4,0.5,2,875,986,1169,1.1209856,1.3325705,-24.158,28.281,3.46689148485752,3.25805807574336,-24.158,12.9691813186813,9.17844358896808,14.284,9.27163511994937,-12.4980226013738,10.7416519877614,44.6754181259279,0,0,0,0,0,"241202_24-364.2.xls"
26,"UU-CN-3","RM","N2_CO2+He_2.met",0.43,2,0,193.5,268.1,27.003,7.1912342,24.7,17.6,929,654,0.7026411,12.599,"2024/12/02 18:46:02",NA,318.4,71.9,21.54,1.5441067,0.2,0.4,1.8,735,826,986,1.1201878,1.3304644,-24.072,27.4,3.29594797094306,3.06991167172824,-24.072,12.9502142857143,9.24001773764501,14.37,9.33716854393076,-12.40752537115,10.8014028173016,44.1577148137062,0,0,0,0,0,"241202_24-364.2.xls"
11,"UU-CN-2","RM","N2_CO2+He_2.met",0.503,2,0,192.8,265.8,27.19,6.1903294,24.4,17.2,962,667,0.6934184,-0.245,"2024/12/02 15:54:33","CO2 Reference Tank: 900",317.6,73.2,23.363,1.4317772,0.3,0.4,1.7,794,880,1059,1.1076826,1.335533,-39.052,27.462,3.30284925864438,3.15115357437182,-39.052,-0.0964093406593398,-3.8098574766573,-0.609999999999999,-4.55182584250153,-28.170880124086,9.29774913596926,40.943971935594,0,0,0,0,0,"241202_24-364.2.xls"
23,"UU-CN-2","RM","N2_CO2+He_2.met",0.481,2,0,193.1,266.6,26.799,6.3803602,24.4,17.5,933,647,0.6936345,-0.427,"2024/12/02 18:11:44",NA,318.2,72.2,22.256,1.4262906,0.3,0.4,1.9,757,842,1015,1.1088891,1.3418953,-39.002,31.109,3.28836457338781,3.10261163518109,-39.002,-0.116310439560438,-3.82293401907426,-0.560000000000002,-4.56574321881668,-28.1182654553512,9.58319033800832,40.7879035073126,0,0,0,0,0,"241202_24-364.2.xls"
