domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A1,BBC.SOAP060439.2024.1-2.POOL.CN,A00000398812,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_060.basePlot.bbc,2024-07-25T07:56,,25-066.1
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A10,BBC.SOAP056637.2024.2-10.POOL.CN,A00000398927,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_056.basePlot.bbc,2024-08-01T09:34,,25-066.2
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A2,BBC.SOAP060621.2024.0-1.POOL.CN,A00000398807,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_060.basePlot.bbc,2024-07-25T08:40,,25-066.3
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A3,BBC.SOAP060621.2024.1-2.POOL.CN,A00000398808,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_060.basePlot.bbc,2024-07-25T08:40,,25-066.4
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A4,BBC.SOAP061669.2024.0-1.POOL.CN,A00000398805,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_061.basePlot.bbc,2024-07-29T10:56,,25-066.5
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A5,BBC.SOAP061669.2024.1-2.POOL.CN,A00000398806,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_061.basePlot.bbc,2024-07-29T10:56,,25-066.6
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A6,BBC.SOAP061669.2024.2-10.POOL.CN,A00000398932,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_061.basePlot.bbc,2024-07-29T10:56,,25-066.7
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A7,BBC.SOAP061951.2024.0-1.POOL.CN,A00000398837,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_061.basePlot.bbc,2024-07-29T10:19,,25-066.8
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A8,BBC.SOAP061951.2024.1-2.POOL.CN,A00000398828,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_061.basePlot.bbc,2024-07-29T10:19,,25-066.9
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,A9,BBC.SOAP061951.2024.2-10.POOL.CN,A00000398827,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_061.basePlot.bbc,2024-07-29T10:19,,25-066.10
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B1,BBC.SOAP056897.2024.0-1.POOL.CN,A00000398916,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_056.basePlot.bbc,2024-08-01T09:17,,25-066.11
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B10,BBC.SOAP054617.2024.1-2.POOL.CN,A00000398677,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_054.basePlot.bbc,2024-07-25T10:14,,25-066.12
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B2,BBC.SOAP056897.2024.1-2.POOL.CN,A00000398915,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_056.basePlot.bbc,2024-08-01T09:17,,25-066.13
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B3,BBC.SOAP057331.2024.0-1.POOL.CN,A00000398913,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_057.basePlot.bbc,2024-07-18T10:06,,25-066.14
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B4,BBC.SOAP057331.2024.1-2.POOL.CN,A00000398914,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_057.basePlot.bbc,2024-07-18T10:06,,25-066.15
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B5,BBC.SOAP057331.2024.2-10.POOL.CN,A00000398931,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_057.basePlot.bbc,2024-07-18T10:06,,25-066.16
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B6,BBC.SOAP057567.2024.0-1.POOL.CN,A00000398838,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_057.basePlot.bbc,2024-07-18T09:38,,25-066.17
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B7,BBC.SOAP057567.2024.1-2.POOL.CN,A00000398810,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_057.basePlot.bbc,2024-07-18T09:38,,25-066.18
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B8,BBC.SOAP057567.2024.2-10.POOL.CN,A00000398809,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_057.basePlot.bbc,2024-07-18T09:38,,25-066.19
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,B9,BBC.SOAP060439.2024.0-1.POOL.CN,A00000398811,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_060.basePlot.bbc,2024-07-25T07:56,,25-066.20
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C1,BBC.SOAP054617.2024.2-10.POOL.CN,A00000398666,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_054.basePlot.bbc,2024-07-25T10:14,,25-066.21
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C10,BBC.SOAP053289.2024.0-1.POOL.CN,A00000398878,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_053.basePlot.bbc,2024-07-23T10:11,,25-066.22
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C2,BBC.SOAP055422.2024.0-1.POOL.CN,A00000398896,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_055.basePlot.bbc,2024-07-17T09:02,,25-066.23
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C3,BBC.SOAP055422.2024.1-2.POOL.CN,A00000398897,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_055.basePlot.bbc,2024-07-17T09:02,,25-066.24
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C4,BBC.SOAP055422.2024.2-10.POOL.CN,A00000398898,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_055.basePlot.bbc,2024-07-17T09:02,,25-066.25
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C5,BBC.SOAP055855.2024.0-1.POOL.CN,A00000398930,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_055.basePlot.bbc,2024-07-17T09:18,,25-066.26
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C6,BBC.SOAP055855.2024.1-2.POOL.CN,A00000398929,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_055.basePlot.bbc,2024-07-17T09:18,,25-066.27
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C7,BBC.SOAP055855.2024.2-10.POOL.CN,A00000398928,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_055.basePlot.bbc,2024-07-17T09:18,,25-066.28
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C8,BBC.SOAP056637.2024.0-1.POOL.CN,A00000398926,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_056.basePlot.bbc,2024-08-01T09:34,,25-066.29
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,C9,BBC.SOAP056637.2024.1-2.POOL.CN,A00000398925,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_056.basePlot.bbc,2024-08-01T09:34,,25-066.30
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D1,BBC.SOAP053289.2024.1-2.POOL.CN,A00000398879,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_053.basePlot.bbc,2024-07-23T10:11,,25-066.31
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D10,BBC.SOAP050311.2024.2-10.POOL.CN,A00000398863,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_050.basePlot.bbc,2024-07-22T12:15,,25-066.32
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D2,BBC.SOAP053289.2024.2-10.POOL.CN,A00000398880,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_053.basePlot.bbc,2024-07-23T10:11,,25-066.33
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D3,BBC.SOAP053705.2024.0-1.POOL.CN,A00000398909,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_053.basePlot.bbc,2024-07-23T10:45,,25-066.34
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D4,BBC.SOAP053705.2024.1-2.POOL.CN,A00000398911,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_053.basePlot.bbc,2024-07-23T10:45,,25-066.35
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D5,BBC.SOAP053705.2024.2-10.POOL.CN,A00000398910,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_053.basePlot.bbc,2024-07-23T10:45,,25-066.36
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D6,BBC.SOAP054454.2024.0-1.POOL.CN,A00000398900,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_054.basePlot.bbc,2024-07-25T09:48,,25-066.37
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D7,BBC.SOAP054454.2024.1-2.POOL.CN,A00000398899,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_054.basePlot.bbc,2024-07-25T09:48,,25-066.38
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D8,BBC.SOAP054454.2024.2-10.POOL.CN,A00000398895,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_054.basePlot.bbc,2024-07-25T09:48,,25-066.39
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,D9,BBC.SOAP054617.2024.0-1.POOL.CN,A00000398667,bbc_chemistryPooling_in.cnSampleID,standardSample,SOAP_054.basePlot.bbc,2024-07-25T10:14,,25-066.40
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E1,BBC.SOAP050956.2024.0-1.POOL.CN,A00000398884,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_050.basePlot.bbc,2024-07-22T11:42,,25-066.41
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E10,BBC.SOAP048083.2024.0-1.POOL.CN,A00000398892,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_048.basePlot.bbc,2024-07-18T11:23,,25-066.42
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E2,BBC.SOAP050956.2024.1-2.POOL.CN,A00000398883,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_050.basePlot.bbc,2024-07-22T11:42,,25-066.43
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E3,BBC.SOAP050956.2024.2-10.POOL.CN,A00000398882,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_050.basePlot.bbc,2024-07-22T11:42,,25-066.44
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E4,BBC.SOAP051204.2024.0-1.POOL.CN,A00000398851,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_051.basePlot.bbc,2024-07-16T10:26,,25-066.45
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E5,BBC.SOAP051204.2024.1-2.POOL.CN,A00000398893,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_051.basePlot.bbc,2024-07-16T10:26,,25-066.46
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E6,BBC.SOAP051204.2024.2-10.POOL.CN,A00000398894,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_051.basePlot.bbc,2024-07-16T10:26,,25-066.47
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E7,BBC.SOAP051673.2024.0-1.POOL.CN,A00000398877,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_051.basePlot.bbc,2024-07-16T10:19,,25-066.48
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E8,BBC.SOAP051673.2024.1-2.POOL.CN,A00000398881,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_051.basePlot.bbc,2024-07-16T10:19,,25-066.49
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,E9,BBC.SOAP051673.2024.2-10.POOL.CN,A00000398912,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_051.basePlot.bbc,2024-07-16T10:19,,25-066.50
D17,2/25/25,D172025020392305528,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772313136191,N,A00000398683,F1,BBC.SOAP048083.2024.1-2.POOL.CN,A00000398891,bbc_chemistryPooling_in.cnSampleID,toxicodendronPossible,SOAP_048.basePlot.bbc,2024-07-18T11:23,,25-066.51
