domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A1,cfc.SJER001.CLIP-1.20240410.cn,A00000398099,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_001,2024-04-10T11:40,,,24-379.1
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A10,cfc.SJER006.QUDO-2.20240411.cn,A00000398195,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_006,2024-04-11T10:58,,,24-379.2
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A2,cfc.SJER001.QUWI2-2.20240410.cn,A00000398246,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_001,2024-04-10T11:40,,,24-379.3
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A3,cfc.SJER002.CLIP-1.20240409.cn,A00000398178,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_002,2024-04-09T10:13,,,24-379.4
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A4,cfc.SJER002.QUWI2-2.20240409.cn,A00000398213,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_002,2024-04-09T10:13,,,24-379.5
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A5,cfc.SJER003.CLIP-1.20240416.cn,A00000398188,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_003,2024-04-16T11:59,,,24-379.6
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A6,cfc.SJER004.CLIP-1.20240411.cn,A00000398173,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_004,2024-04-11T12:04,,,24-379.7
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A7,cfc.SJER004.QUWI2-2.20240411.cn,A00000398192,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_004,2024-04-11T12:04,,,24-379.8
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A8,cfc.SJER005.CLIP-1.20240416.cn,A00000398086,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_005,2024-04-16T08:53,,,24-379.9
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,A9,cfc.SJER006.CLIP-1.20240411.cn,A00000398238,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_006,2024-04-11T10:58,,,24-379.10
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,B1,cfc.SJER007.CLIP-1.20240411.cn,A00000398258,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_007,2024-04-11T13:42,,,24-379.11
D17,10/10/24,D1720241010100424502,eartz@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840346746212,N,A00000398619,B10,cfc.SJER012.SANI4-3.20240409.cn,A00000398210,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SJER_012,2024-04-09T08:58,,,24-379.12
