domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA001.CLIP-1.20240910.cn,A00000440324,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_001,2024-09-10T09:31,,,24-383.1
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA002.CLIP-1.20240909.cn,A00000440348,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_002,2024-09-09T09:18,,,24-383.2
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA004.CLIP-1.20240909.cn,A00000440339,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_004,2024-09-09T12:33,,,24-383.3
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA006.CLIP-1.20240909.cn,A00000440345,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_006,2024-09-09T15:20,,,24-383.4
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA009.CLIP-1.20240909.cn,A00000440327,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_009,2024-09-09T16:00,,,24-383.5
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA010.CLIP-1.20240909.cn,A00000440342,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_010,2024-09-09T13:11,,,24-383.6
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA011.CLIP-1.20240910.cn,A00000440336,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_011,2024-09-10T08:35,,,24-383.7
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA012.CLIP-1.20240909.cn,A00000440321,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_012,2024-09-09T10:34,,,24-383.8
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA013.CLIP-1.20240909.cn,A00000440333,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_013,2024-09-09T14:18,,,24-383.9
D06,10/14/24,D0620241014123903736,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 779245051818,N,cfc.KONA015.CLIP-1.20240910.cn,A00000440330,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_015,2024-09-10T10:16,,,24-383.10
