domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,sampleRemarks,namedlocation,collectdate,,,SIRFER ID
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,A1,cfc.JERC003.CELA-4.20240506.cn,A00000181259,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_003,2024-05-06T15:55,,,24-333.1
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,A2,cfc.JERC005.PIPA2-1.20240508.cn,A00000181286,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_005,2024-05-08T17:22,,,24-333.2
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,A3,cfc.JERC003.LIST2-1.20240506.cn,A00000181553,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_003,2024-05-06T15:55,,,24-333.3
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,A4,cfc.JERC028.FRAM2-3.20240507.cn,A00000181581,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_028,2024-05-07T09:56,,,24-333.4
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,A5,cfc.JERC009.PIPA2-1.20240508.cn,A00000181123,cfc_chemistrySubsampling_in.cnSampleID,standardSample,resinous needle sample only ground to 20 mesh,JERC_009,2024-05-08T16:38,,,24-333.5
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,A6,cfc.JERC019.QUFA-1.20240508.cn,A00000181290,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_019,2024-05-08T10:22,,,24-333.6
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,B1,cfc.JERC047.QUHE2-2.20240508.cn,A00000181262,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_047,2024-05-08T15:02,,,24-333.7
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,B2,cfc.JERC007.RHCO-2.20240509.cn,A00000181584,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_007,2024-05-09T10:09,,,24-333.8
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,B3,cfc.JERC003.QUVI-3.20240506.cn,A00000181549,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_003,2024-05-06T15:55,,,24-333.9
D03,8/1/24,D0320240801082752226,mkerstein@neoninc.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777731169942,N,A00000181678,B4,cfc.JERC030.QUGE2-1.20240509.cn,A00000181578,cfc_chemistrySubsampling_in.cnSampleID,standardSample,,JERC_030,2024-05-09T11:14,,,24-333.10
