domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP059.20240205.ndl.cn,A00000399017,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,2/5/24,,25-047.1
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER052.20240708.ndl.cn,A00000398979,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.2
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER054.20240805.lvs.cn,A00000399014,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.3
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER.2024.sds.cn,A00000399016,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.4
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER051.20240806.lvs.cn,A00000399001,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.5
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER057.20240805.lvs.cn,A00000398980,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.6
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER050.20240806.lvs.cn,A00000398983,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.7
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER053.20240806.lvs.cn,A00000399144,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.8
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER058.20240805.lvs.cn,A00000399137,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.9
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER052.20240806.lvs.cn,A00000398995,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.10
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER062.20240805.lvs.cn,A00000399151,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.11
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER056.20240805.lvs.cn,A00000399133,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.12
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER058.20240708.ndl.cn,A00000398988,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.13
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER047.20240708.ndl.cn,A00000398967,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.14
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER055.20240805.lvs.cn,A00000399150,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.15
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER063.20240806.lvs.cn,A00000399147,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.16
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER049.20240805.lvs.cn,A00000398998,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.17
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER059.20240806.lvs.cn,A00000399140,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,8/5/24,,25-047.18
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER050.20240709.ndl.cn,A00000398965,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.19
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER.2024.oth.cn,A00000399028,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,4/18/24,,25-047.20
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER064.20240708.ndl.cn,A00000398963,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.21
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER059.20240708.ndl.cn,A00000398966,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.22
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER.2024.flr.cn,A00000398970,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,4/18/24,,25-047.23
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER.2024.twi.cn,A00000398994,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,3/18/24,,25-047.24
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER.2024.mxt.cn,A00000399034,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,7/8/24,,25-047.25
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SJER.2024.wdy.cn,A00000399033,ltr_chemistrySubsampling_in.cnSampleID,N,SJER,3/18/24,,25-047.26
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP058.20240916.lvs.cn,A00000398977,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,9/17/24,,25-047.27
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP057.20240205.ndl.cn,A00000399003,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,2/5/24,,25-047.28
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP043.20240916.lvs.cn,A00000398972,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,9/17/24,,25-047.29
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP.2024.flr.cn,A00000398957,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,6/27/24,,25-047.30
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP.2024.oth.cn,A00000398942,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,5/28/24,,25-047.31
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP.2024.sds.cn,A00000398989,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,9/17/24,,25-047.32
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP.2024.mxt.cn,A00000398975,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,5/28/24,,25-047.33
D17,1/28/25,D1720250128112824458,burgener@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1Z57R3840365614051,N,NEON.ltr.SOAP.2024.wdy.cn,A00000398943,ltr_chemistrySubsampling_in.cnSampleID,N,SOAP,3/6/24,,25-047.34
