domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA003.CLIP-1.20240610.cn,A00000439283,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_003,2024-06-10T13:46,,,24-251.1
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA005.CLIP-1.20240610.cn,A00000439288,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_005,2024-06-10T09:27,,,24-251.2
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA007.CLIP-1.20240610.cn,A00000439289,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_007,2024-06-10T11:02,,,24-251.3
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA008.CLIP-1.20240610.cn,A00000439304,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_008,2024-06-10T11:09,,,24-251.4
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA014.CLIP-1.20240610.cn,A00000439280,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_014,2024-06-10T12:09,,,24-251.5
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA016.CLIP-1.20240612.cn,A00000439282,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_016,2024-06-12T09:12,,,24-251.6
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA048.CLIP-1.20240610.cn,A00000439302,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_048,2024-06-10T15:35,,,24-251.7
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA054.CLIP-1.20240610.cn,A00000439297,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_054,2024-06-10T13:30,,,24-251.8
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA057.CLIP-1.20240610.cn,A00000439300,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_057,2024-06-10T15:00,,,24-251.9
D06,7/10/24,D0620240710111247324,ariddle@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777316385093,N,cfc.KONA059.CLIP-1.20240610.cn,A00000439293,cfc_chemistrySubsampling_in.cnSampleID,standardSample,KONA_059,2024-06-10T14:07,,,24-251.10
