domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE037602.2024.0-1.POOL.CN,A00000398797,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_037.basePlot.bbc,2024-08-13T10:53,,,25-099.1
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE037602.2024.1-2.POOL.CN,A00000398813,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_037.basePlot.bbc,2024-08-13T10:53,,,25-099.2
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE037602.2024.2-10.POOL.CN,A00000398829,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_037.basePlot.bbc,2024-08-13T10:53,,,25-099.3
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE037883.2024.0-1.POOL.CN,A00000398798,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_037.basePlot.bbc,2024-08-13T10:07,,,25-099.4
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE037883.2024.1-2.POOL.CN,A00000398814,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_037.basePlot.bbc,2024-08-13T10:07,,,25-099.5
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE037883.2024.2-10.POOL.CN,A00000398830,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_037.basePlot.bbc,2024-08-13T10:07,,,25-099.6
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE038260.2024.0-1.POOL.CN,A00000398799,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_038.basePlot.bbc,2024-08-21T15:36,,,25-099.7
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE038260.2024.1-2.POOL.CN,A00000398815,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_038.basePlot.bbc,2024-08-21T15:36,,,25-099.8
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE038260.2024.2-10.POOL.CN,A00000398831,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_038.basePlot.bbc,2024-08-21T15:36,,,25-099.9
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE038772.2024.0-1.POOL.CN,A00000398800,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_038.basePlot.bbc,2024-08-21T15:03,,,25-099.10
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE038772.2024.1-2.POOL.CN,A00000398816,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_038.basePlot.bbc,2024-08-21T15:03,,,25-099.11
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE038772.2024.2-10.POOL.CN,A00000398832,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_038.basePlot.bbc,2024-08-21T15:03,,,25-099.12
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE043399.2024.0-1.POOL.CN,A00000398801,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_043.basePlot.bbc,2024-08-27T08:27,,,25-099.13
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE043399.2024.1-2.POOL.CN,A00000398817,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_043.basePlot.bbc,2024-08-27T08:27,,,25-099.14
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE043399.2024.2-10.POOL.CN,A00000398833,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_043.basePlot.bbc,2024-08-27T08:27,,,25-099.15
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE043555.2024.0-1.POOL.CN,A00000398802,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_043.basePlot.bbc,2024-08-27T08:52,,,25-099.16
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE043555.2024.1-2.POOL.CN,A00000398818,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_043.basePlot.bbc,2024-08-27T08:52,,,25-099.17
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE043555.2024.2-10.POOL.CN,A00000398834,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_043.basePlot.bbc,2024-08-27T08:52,,,25-099.18
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE044205.2024.0-1.POOL.CN,A00000398803,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_044.basePlot.bbc,2024-08-21T09:45,,,25-099.19
D05,3/31/25,D0520250327160403804,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 880127084836 ,N,BBC.UNDE044205.2024.1-2.POOL.CN,A00000398819,bbc_chemistryPooling_in.cnSampleID,standardSample,UNDE_044.basePlot.bbc,2024-08-21T09:45,,,25-099.20
