domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER.2025.mxt.cn,A00000495293,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,10/2/25,,26-090.1
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER.2025.sds.cn,A00000495295,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,10/2/25,,26-090.2
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER.2025.twi.cn,A00000495297,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,10/2/25,,26-090.3
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER.2025.wdy.cn,A00000495296,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,10/2/25,,26-090.4
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER042.20251124.lvs.cn,A00000495273,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.5
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER043.20251124.lvs.cn,A00000495289,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.6
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER044.20251124.lvs.cn,A00000495305,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.7
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER045.20251124.lvs.cn,A00000495275,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.8
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER046.20251124.lvs.cn,A00000495274,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.9
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER047.20251124.lvs.cn,A00000495278,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.10
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER048.20251124.lvs.cn,A00000495281,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.11
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER049.20251124.lvs.cn,A00000495282,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.12
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER050.20251124.lvs.cn,A00000495284,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.13
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER051.20251124.lvs.cn,A00000495285,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.14
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER052.20251124.lvs.cn,A00000495286,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.15
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER053.20251124.lvs.cn,A00000495287,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.16
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER054.20251124.lvs.cn,A00000495288,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.17
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER055.20251124.lvs.cn,A00000495283,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.18
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER056.20251124.lvs.cn,A00000495290,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.19
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER057.20251124.lvs.cn,A00000495291,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.20
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER058.20251124.lvs.cn,A00000495303,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.21
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER059.20251124.lvs.cn,A00000495279,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,11/24/25,,26-090.22
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER.2025.oth.cn,A00000495294,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,8/4/25,,26-090.23
D14,4/6/26,D1420260406081016690,hoogenboomj@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 870350931748,N,NEON.ltr.SRER.2025.flr.cn,A00000495292,ltr_chemistrySubsampling_in.cnSampleID,N,SRER,6/11/25,,26-090.24
