domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA048176.2024.0-1.POOL.CN,A00000440719,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_048.basePlot.bbc,2024-08-14T11:09,,,24-442.1
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA048176.2024.1-2.POOL.CN,A00000440720,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_048.basePlot.bbc,2024-08-14T11:09,,,24-442.2
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA049053.2024.0-1.POOL.CN,A00000440724,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_049.basePlot.bbc,2024-08-14T12:14,,,24-442.3
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA050188.2024.0-1.POOL.CN,A00000440731,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_050.basePlot.bbc,2024-08-14T09:44,,,24-442.4
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA050188.2024.1-2.POOL.CN,A00000440741,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_050.basePlot.bbc,2024-08-14T09:44,,,24-442.5
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA051029.2024.0-1.POOL.CN,A00000440721,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_051.basePlot.bbc,2024-08-20T10:46,,,24-442.6
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA051029.2024.2-10.POOL.CN,A00000440722,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_051.basePlot.bbc,2024-08-20T10:46,,,24-442.7
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA052123.2024.0-1.POOL.CN,A00000440723,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_052.basePlot.bbc,2024-08-20T09:38,,,24-442.8
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA053152.2024.0-1.POOL.CN,A00000440752,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_053.basePlot.bbc,2024-08-12T12:39,,,24-442.9
D06,12/9/24,D06202412994102391,karpiesiuk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,#  770608030245,N,BBC.KONA054136.2024.0-1.POOL.CN,A00000440727,bbc_chemistryPooling_in.cnSampleID,standardSample,KONA_054.basePlot.bbc,2024-08-19T11:36,,,24-442.10
