domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE.2025.flr.cn,A00000391679,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,8/12/25,,26-091.1
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE.2025.mxt.cn,A00000391686,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,5/6/25,,26-091.2
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE.2025.oth.cn,A00000391680,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,5/5/25,,26-091.3
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE.2025.sds.cn,A00000391666,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,8/12/25,,26-091.4
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE.2025.twi.cn,A00000391665,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,5/6/25,,26-091.5
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE.2025.wdy.cn,A00000391664,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,5/6/25,,26-091.6
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE039.20251006.lvs.cn,A00000391663,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.7
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE039.20251006.ndl.cn,A00000391670,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.8
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE040.20251006.lvs.cn,A00000391678,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.9
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE040.20251006.ndl.cn,A00000391685,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.10
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE041.20251006.lvs.cn,A00000391676,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.11
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE042.20251006.lvs.cn,A00000391692,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.12
D05,3/24/26,D0520260324092707058,uchytil@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 889926435029,N,A00000413490,NEON.ltr.TREE043.20251006.lvs.cn,A00000391675,ltr_chemistrySubsampling_in.cnSampleID,N,TREE,10/6/25,,26-091.13
