domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA001.ACNE2-1.20240515.cn,A00000459752,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_001,2024-05-15T15:05,,,24-252.1
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA001.FRPE-2.20240515.cn,A00000459739,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_001,2024-05-15T15:05,,,24-252.2
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA002.FRPE-1.20240516.cn,A00000459588,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_002,2024-05-16T11:53,,,24-252.3
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA002.QULY-2.20240516.cn,A00000459562,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_002,2024-05-16T11:53,,,24-252.4
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA003.LIST2-1.20240514.cn,A00000459566,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_003,2024-05-14T11:03,,,24-252.5
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA003.QUPA5-2.20240514.cn,A00000459741,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_003,2024-05-14T11:03,,,24-252.6
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA004.CATO6-1.20240514.cn,A00000459746,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_004,2024-05-14T09:34,,,24-252.7
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA004.CELA-4.20240514.cn,A00000459750,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_004,2024-05-14T09:34,,,24-252.8
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA004.PITA-2.20240514.cn,A00000459564,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_004,2024-05-14T09:34,,,24-252.9
D08,7/15/24,D0820240611135002668,hofford@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 777405328390,N,cfc.DELA004.QUNI-3.20240514.cn,A00000459768,cfc_chemistrySubsampling_in.cnSampleID,standardSample,DELA_004,2024-05-14T09:34,,,24-252.10
