domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA.2024.flr.cn,A00000461233,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,8/8/24,,25-064.1
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA.2024.mxt.cn,A00000459763,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,8/8/24,,25-064.2
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA.2024.oth.cn,A00000460972,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,8/8/24,,25-064.3
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA.2024.sds.cn,A00000460979,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,9/30/24,,25-064.4
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA.2024.twi.cn,A00000459761,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,8/8/24,,25-064.5
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA.2024.wdy.cn,A00000461243,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,8/8/24,,25-064.6
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA037.20241111.lvs.cn,A00000461012,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.7
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA037.20241126.ndl.cn,A00000461242,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/26/24,,25-064.8
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA038.20241111.lvs.cn,A00000461002,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.9
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA039.20241111.lvs.cn,A00000461032,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.10
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA040.20241111.lvs.cn,A00000461022,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.11
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA041.20241111.lvs.cn,A00000460974,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.12
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA042.20241111.lvs.cn,A00000460977,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.13
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA043.20241111.lvs.cn,A00000461238,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.14
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA044.20241111.lvs.cn,A00000461228,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.15
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA045.20241111.lvs.cn,A00000460993,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.16
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA046.20241111.lvs.cn,A00000460975,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.17
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA046.20241126.ndl.cn,A00000460962,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/26/24,,25-064.18
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA047.20241111.lvs.cn,A00000460976,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.19
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA048.20241111.lvs.cn,A00000461230,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.20
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA050.20241111.lvs.cn,A00000461004,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.21
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA051.20241111.lvs.cn,A00000461014,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.22
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA052.20241111.lvs.cn,A00000461021,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.23
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA053.20241111.lvs.cn,A00000461034,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.24
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA054.20241111.lvs.cn,A00000460961,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.25
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA055.20241111.lvs.cn,A00000461241,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.26
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA056.20241111.lvs.cn,A00000460982,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.27
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA056.20241111.ndl.cn,A00000460983,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/26/24,,25-064.28
D08,2/25/25,D0820250225130525311,pettyk@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772311220582,N,NEON.ltr.DELA059.20241111.lvs.cn,A00000460967,ltr_chemistrySubsampling_in.cnSampleID,N,DELA,11/11/24,,25-064.29
