domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A1,NEON.ltr.JERC047.20241223.lvs.cn,A00000185038,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.1
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A10,NEON.ltr.JERC051.20240917.ndl.cn,A00000184979,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.2
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A2,NEON.ltr.JERC047.20240917.ndl.cn,A00000184995,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.3
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A3,NEON.ltr.JERC048.20241223.lvs.cn,A00000185027,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.4
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A4,NEON.ltr.JERC048.20240917.ndl.cn,A00000184976,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.5
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A5,NEON.ltr.JERC049.20241223.lvs.cn,A00000185037,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.6
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A6,NEON.ltr.JERC049.20240917.ndl.cn,A00000184992,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.7
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A7,NEON.ltr.JERC050.20241223.lvs.cn,A00000185015,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.8
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A8,NEON.ltr.JERC050.20240917.ndl.cn,A00000184978,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.9
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,A9,NEON.ltr.JERC051.20241223.lvs.cn,A00000185016,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.10
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B1,NEON.ltr.JERC052.20241223.lvs.cn,A00000185017,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.11
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B10,NEON.ltr.JERC.2024.wdy.cn,A00000184962,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,8/6/24,,25-068.12
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B2,NEON.ltr.JERC052.20240917.ndl.cn,A00000184980,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.13
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B3,NEON.ltr.JERC053.20241223.lvs.cn,A00000185018,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.14
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B4,NEON.ltr.JERC053.20240917.ndl.cn,A00000184981,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.15
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B5,NEON.ltr.JERC054.20241223.lvs.cn,A00000185019,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.16
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B6,NEON.ltr.JERC055.20241223.lvs.cn,A00000185020,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.17
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B7,NEON.ltr.JERC055.20240917.ndl.cn,A00000184982,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.18
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B8,NEON.ltr.JERC056.20241223.lvs.cn,A00000185003,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.19
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,B9,NEON.ltr.JERC056.20240917.ndl.cn,A00000184983,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,9/17/24,,25-068.20
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,C1,NEON.ltr.JERC.2024.twi.cn,A00000184967,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,8/6/24,,25-068.21
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,C2,NEON.ltr.JERC.2024.oth.cn,A00000184971,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,4/17/24,,25-068.22
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,C3,NEON.ltr.JERC.2024.mxt.cn,A00000184984,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,4/17/24,,25-068.23
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,C4,NEON.ltr.JERC.2024.flr.cn,A00000184987,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,4/17/24,,25-068.24
D03,2/12/25,D0320250212131213350,henigan@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772040210785,N,A00000180975,C5,NEON.ltr.JERC.2024.sds.cn,A00000184959,ltr_chemistrySubsampling_in.cnSampleID,N,JERC,12/23/24,,25-068.25
