domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE.2024.flr.cn,A00000456843,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,4/30/24,,25-101.1
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE.2024.mxt.cn,A00000456841,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,8/20/24,,25-101.2
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE.2024.oth.cn,A00000456840,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,4/30/24,,25-101.3
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE.2024.twi.cn,A00000456837,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,8/20/24,,25-101.4
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE.2024.wdy.cn,A00000456835,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,8/20/24,,25-101.5
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE037.20240820.lvs.cn,A00000456854,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,8/20/24,,25-101.6
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE037.20241015.lvs.cn,A00000456867,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,10/15/24,,25-101.7
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE037.20241015.mxt.cn,A00000456876,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,10/15/24,,25-101.8
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE037.20241029.ndl.cn,A00000456865,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,10/29/24,,25-101.9
D05,2/18/25,D0520250218125157604,sattler@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 772156977720,N,A00000456997,NEON.ltr.UNDE037.20241029.oth.cn,A00000456871,ltr_chemistrySubsampling_in.cnSampleID,N,UNDE,10/29/24,,25-101.10
