domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ.2024.flr.cn,A00000420590,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,4/18/24,,25-023.1
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ.2024.mxt.cn,A00000135354,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,6/11/24,,25-023.2
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ.2024.oth.cn,A00000420622,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,8/8/24,,25-023.3
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ.2024.sds.cn,A00000420613,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.4
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ.2024.twi.cn,A00000420599,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,6/11/24,,25-023.5
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ.2024.wdy.cn,A00000420621,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,9/30/24,,25-023.6
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ002.20241112.lvs.cn,A00000419380,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.7
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ003.20241112.lvs.cn,A00000419370,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.8
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ005.20241112.lvs.cn,A00000422184,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.9
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ005.20241112.ndl.cn,A00000135364,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.10
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ006.20241111.lvs.cn,A00000135343,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.11
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ007.20241111.lvs.cn,A00000422178,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.12
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ008.20241111.lvs.cn,A00000422526,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.13
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ009.20241112.lvs.cn,A00000422493,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.14
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ010.20241111.lvs.cn,A00000135353,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.15
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ011.20241111.lvs.cn,A00000419367,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.16
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ012.20241112.lvs.cn,A00000419379,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.17
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ012.20241112.ndl.cn,A00000135344,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.18
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ014.20241112.lvs.cn,A00000422187,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.19
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ015.20241111.lvs.cn,A00000420758,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.20
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ015.20241111.ndl.cn,A00000135345,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.21
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ016.20241112.lvs.cn,A00000422179,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.22
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ017.20241112.lvs.cn,A00000419377,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.23
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ018.20241112.lvs.cn,A00000422495,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.24
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ021.20241111.lvs.cn,A00000420760,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.25
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ022.20241112.lvs.cn,A00000419369,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.26
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ023.20241111.lvs.cn,A00000422192,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.27
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ026.20241112.lvs.cn,A00000422182,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.28
D11,1/15/25,D1120250114083929854,suttonca@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 771418913812,N,A00000420777,NEON.ltr.CLBJ027.20241111.lvs.cn,A00000422181,ltr_chemistrySubsampling_in.cnSampleID,N,CLBJ,11/12/24,,25-023.29
