domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,containerLocation,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,A1,cfc.SRER005.CEPA8-1.20250901.cn,A00000495170,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_005,2025-09-01T08:24,,,26-015.1
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,A2,cfc.SRER013.BABR-4.20250904.cn,A00000495171,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_013,2025-09-04T08:05,,,26-015.2
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,A3,cfc.SRER013.OPEN3-1.20250904.cn,A00000495130,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_013,2025-09-04T08:05,,,26-015.3
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,A4,cfc.SRER050.OPPH-1.20250903.cn,A00000495089,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_050,2025-09-03T12:25,,,26-015.4
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,A5,cfc.SRER003.OPEN3-2.20250901.cn,A00000495147,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_003,2025-09-01T11:00,,,26-015.5
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,A6,cfc.SRER004.PAIN2-3.20250908.cn,A00000494781,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_004,2025-09-08T10:45,,,26-015.6
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,B1,cfc.SRER015.EYOR-1.20250909.cn,A00000495134,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_015,2025-09-09T09:05,,,26-015.7
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,B2,cfc.SRER008.CLIP-1.20250902.cn,A00000495153,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_008,2025-09-02T10:46,,,26-015.8
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,B3,cfc.SRER010.PRVE-1.20250910.cn,A00000495082,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_010,2025-09-10T07:52,,,26-015.9
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,B4,cfc.SRER018.PRVE-1.20250910.cn,A00000495118,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_018,2025-09-10T12:09,,,26-015.10
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,B5,cfc.SRER005.OPEN3-3.20250901.cn,A00000495121,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_005,2025-09-01T08:24,,,26-015.11
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,B6,cfc.SRER005.FOSP2-2.20250901.cn,A00000494787,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_005,2025-09-01T08:24,,,26-015.12
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,C1,cfc.SRER013.GUSA2-2.20250904.cn,A00000495172,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_013,2025-09-04T08:05,,,26-015.13
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,C2,cfc.SRER018.LATR2-2.20250910.cn,A00000495165,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_018,2025-09-10T12:09,,,26-015.14
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,C3,cfc.SRER015.ZIOB-2.20250909.cn,A00000495174,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_015,2025-09-09T09:05,,,26-015.15
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,C4,cfc.SRER002.OPEN3-1.20250902.cn,A00000495105,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_002,2025-09-02T07:42,,,26-015.16
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,C5,cfc.SRER003.EPTR-1.20250901.cn,A00000495081,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_003,2025-09-01T11:00,,,26-015.17
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,C6,cfc.SRER045.PAIN2-1.20250903.cn,A00000494789,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_045,2025-09-03T07:50,,,26-015.18
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,D1,cfc.SRER013.ISTE2-3.20250904.cn,A00000495150,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_013,2025-09-04T08:05,,,26-015.19
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,D2,cfc.SRER006.SEGR4-2.20250910.cn,A00000495119,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_006,2025-09-10T08:47,,,26-015.20
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,D3,cfc.SRER011.OPEN3-3.20250910.cn,A00000495102,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_011,2025-09-10T08:03,,,26-015.21
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,D4,cfc.SRER011.PAFL6-1.20250910.cn,A00000495135,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_011,2025-09-10T08:03,,,26-015.22
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,D5,cfc.SRER044.LATR2-1.20250911.cn,A00000495085,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_044,2025-09-11T11:00,,,26-015.23
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,D6,cfc.SRER004.FOSP2-2.20250908.cn,A00000494784,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_004,2025-09-08T10:45,,,26-015.24
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,E1,cfc.SRER058.LATR2-2.20250903.cn,A00000495163,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_058,2025-09-03T09:04,,,26-015.25
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,E2,cfc.SRER006.CEPA8-1.20250910.cn,A00000495097,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_006,2025-09-10T08:47,,,26-015.26
D14,11/6/25,D1420251106132826703,fowlerm@battelleecology.org,SIRFER Lab at University of Utah,FedEx,Ground,# 885823781990,N,A00000495175,E3,cfc.SRER020.CLIP-1.20250910.cn,A00000495088,cfc_chemistrySubsampling_in.cnSampleID,standardSample,SRER_020,2025-09-10T11:36,,,26-015.27
