domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,,SIRFER ID
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV001.PIST-1.20240806.cn,A00000445068,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_001,2024-08-06T09:31,,,24-440.1
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV001.PIST-2.20240829.cn,A00000321865,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_001,2024-08-29T09:55,,,24-440.2
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV001.QURU-1.20240829.cn,A00000321855,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_001,2024-08-29T09:55,,,24-440.3
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV001.QURU-2.20240806.cn,A00000445034,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_001,2024-08-06T09:31,,,24-440.4
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV002.BELE-2.20240820.cn,A00000322208,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_002,2024-08-20T10:39,,,24-440.5
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV002.QURU-1.20240820.cn,A00000321886,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_002,2024-08-20T10:39,,,24-440.6
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV004.ACRU-1.20240806.cn,A00000445041,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_004,2024-08-06T12:51,,,24-440.7
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV004.ACRU-1.20240828.cn,A00000321791,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_004,2024-08-28T16:43,,,24-440.8
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV004.ACSAS-2.20240806.cn,A00000445032,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_004,2024-08-06T12:51,,,24-440.9
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV004.CAOV2-4.20240806.cn,A00000445055,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_004,2024-08-06T12:51,,,24-440.10
D01,12/2/24,D0120241202120802894,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440363054689,N,cfc.HARV004.QUAL-3.20240806.cn,A00000321787,cfc_chemistrySubsampling_in.cnSampleID,standardSample,HARV_004,2024-08-06T12:51,,,24-440.11
