domainID,dateShipped,shipmentID,senderID,sentTo,shipmentService,shipmentMethod,trackingNumber,quarantineStatus,containerID,sampleID,sampleCode,sampleClass,sampleType,namedlocation,collectdate,,SIRFER ID
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV.2024.flr.cn,A00000321868,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,5/27/24,,25-024.1
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV.2024.mxt.cn,A00000321816,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,5/27/24,,25-024.2
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV.2024.oth.cn,A00000321847,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,5/27/24,,25-024.3
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV.2024.sds.cn,A00000321931,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,9/30/24,,25-024.4
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV.2024.twi.cn,A00000321888,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,4/29/24,,25-024.5
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV.2024.wdy.cn,A00000321826,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,4/29/24,,25-024.6
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV033.20241014.lvs.cn,A00000321904,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.7
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV033.20241014.ndl.cn,A00000321883,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.8
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV034.20241014.lvs.cn,A00000321912,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.9
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV034.20241014.ndl.cn,A00000321893,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.10
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV035.20241014.lvs.cn,A00000321884,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.11
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV035.20241014.ndl.cn,A00000321863,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.12
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV038.20241014.lvs.cn,A00000321823,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.13
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV038.20241014.ndl.cn,A00000321909,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.14
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV039.20241014.lvs.cn,A00000321827,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.15
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV039.20241014.ndl.cn,A00000321910,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.16
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV040.20241014.lvs.cn,A00000321864,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.17
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV040.20241014.ndl.cn,A00000321905,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.18
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV042.20241014.lvs.cn,A00000321832,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.19
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV042.20241014.ndl.cn,A00000321927,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.20
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV044.20241014.lvs.cn,A00000321843,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.21
D01,1/3/25,D0120250103140101600,webberj@battelleecology.org,SIRFER Lab at University of Utah,UPS,Ground,# 1ZWX16440362515290,N,A00000321194,NEON.ltr.HARV044.20241014.ndl.cn,A00000321926,ltr_chemistrySubsampling_in.cnSampleID,N,HARV,10/14/24,,25-024.22
