"analysisDate","qaReferenceID","internalLabID","runID","nitrogenPercent","carbonPercent","CNratio","d15N","d13C","analyticalRepNumber","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","remarks","testMethod","instrument","analyzedBy","reviewedBy"
"20260220","Spinach",NA,"26-017.1",5.94750749362813,40.6568168698557,6.83594210068898,-0.445781755049496,-27.2143596869815,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260220","Spinach",NA,"26-017.1",6.0807137650703,40.6274565969951,6.68136310417588,-0.324345416485051,-27.3436229282075,2,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260220","Spinach",NA,"26-017.1",5.98499576531692,40.4282269056808,6.75492990988608,-0.367694631354067,-27.1306338688542,3,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260220","Spinach",NA,"26-017.1",6.0612463896966,40.6076459035123,6.6995537374195,-0.390291145061954,-27.2658119012259,4,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260220","Spinach",NA,"26-017.1",6.05911143940302,40.7476662560892,6.72502340707962,-0.452352155356005,-27.2436996692451,5,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260221","Spinach",NA,"26-017.1",6.15167069982553,40.4855900284124,6.58123492038685,-0.449577946399846,-27.2966624276941,6,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260221","Spinach",NA,"26-017.1",6.27808115123555,40.3649929762151,6.42951118404564,-0.342608094922782,-27.1754591920127,7,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",5.78585233090997,40.5068353565654,7.0010143778064,-0.302108666612177,-27.4499700402283,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",5.92539651686494,40.4932498802349,6.83384643795272,-0.374559784518788,-27.3430994345874,2,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",6.1444456073723,40.4406381297059,6.58165776277423,-0.272018215298409,-27.4248273099726,3,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",6.03617713237986,40.330163914996,6.6814082871513,-0.299419567714033,-27.4331035505179,4,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",6.0457901818257,40.3549300327754,6.67488100299721,-0.330985301992184,-27.4982789448124,5,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",6.16888847331119,40.5403376273401,6.57174105233577,-0.357876748125717,-27.4982789448124,6,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
"20260225","Spinach",NA,"26-017.2",6.20342860889987,40.481119203425,6.52560410630792,-0.273759866328518,-27.2830966906337,7,0,0,0,0,"","NEON_vegIso_SOPv1.0","IN7","schakraborty","gjbowen"
