"analysisDate","sampleID","sampleCode","sampleType","internalLabID","runID","acidTreatment","co2Trapped","nitrogenPercent","carbonPercent","CNratio","d15N","d13C","analyticalRepNumber","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","remarks","testMethod","instrument","analyzedBy","reviewedBy"
"20250731","BBC.SOAP060439.2024.1-2.POOL.CN","A00000398812","vegetation","25-066.1","25-066.3","","N",0.470034844139012,43.9324374123469,93.4663418258285,-3.10880710594784,-28.8164602771523,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250729","BBC.SOAP061951.2024.2-10.POOL.CN","A00000398827","vegetation","25-066.10","25-066.1","","N",0.749425980912143,52.1178225585891,69.54365592604,-3.93737095704119,-25.4647103446802,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250729","BBC.SOAP056897.2024.0-1.POOL.CN","A00000398916","vegetation","25-066.11","25-066.1","","N",0.71096396618756,43.0927801720142,60.6117640575976,-1.10003243098211,-28.9931999914524,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250731","BBC.SOAP054617.2024.1-2.POOL.CN","A00000398677","vegetation","25-066.12","25-066.3","","N",1.02735372140013,49.7042978100184,48.3809001463282,-4.39138816832774,-29.3337774714573,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250730","BBC.SOAP056897.2024.1-2.POOL.CN","A00000398915","vegetation","25-066.13","25-066.2","","N",0.826905989572642,50.9349040876164,61.5969707922183,-3.09423322761708,-28.1251031951437,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250729","BBC.SOAP057331.2024.0-1.POOL.CN","A00000398913","vegetation","25-066.14","25-066.1","","N",0.735957077835999,50.8414284632715,69.0820565416194,-3.22103312586079,-27.3684913562835,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250730","BBC.SOAP057331.2024.1-2.POOL.CN","A00000398914","vegetation","25-066.15","25-066.2","","N",0.755005370758107,50.8439937432774,67.3425590234206,-4.73654715195836,-26.3561805034884,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250731","BBC.SOAP057331.2024.2-10.POOL.CN","A00000398931","vegetation","25-066.16","25-066.3","","N",0.532196761507674,51.707349400994,97.1583315436022,-3.86919306385924,-26.189220695073,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250730","BBC.SOAP057567.2024.0-1.POOL.CN","A00000398838","vegetation","25-066.17","25-066.2","","N",0.994660478690913,44.3140326805177,44.551918599239,-2.84658981251528,-28.4609745922934,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250729","BBC.SOAP057567.2024.1-2.POOL.CN","A00000398810","vegetation","25-066.18","25-066.1","","N",0.661098070632533,47.9783446463767,72.5737175431044,-3.91566096056787,-27.6830820351732,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
"20250729","BBC.SOAP057567.2024.2-10.POOL.CN","A00000398809","vegetation","25-066.19","25-066.1","","N",0.574582536949621,52.9943318516227,92.2310172059218,-4.47275987963885,-27.9956430967797,1,0,0,0,0,"","NEON_vegIso_SOPv1.0","Thermo Flash EA with Costech Zero Blank Autosampler coupled to Thermo Delta V Plus via Conflo IV interface","schakraborty","gjbowen"
