"analysisDate","sampleID","sampleCode","internalLabID","runID","acidTreatment","co2Trapped","nitrogenPercent","carbonPercent","CNratio","d15N","d13C","analyticalRepNumber","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","remarks","testMethod","instrument","analyzedBy","reviewedBy"
2024-11-15,"cfc.CLBJ001.CLIP-2.20240515.cn","A00000420579","24-315.1","241115_24-315.1-24-320.2","","N",1.30652694643778,43.6484243135611,33.4079786357011,-1.89927064348107,-26.8650098523258,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ022.JUVI-1.20240522.cn","A00000420571","24-315.10","241115_24-315.1-24-320.2","","N",1.16951876110027,51.1999474168431,43.778645644534,-1.88441639809518,-25.6642752452011,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ022.QUSH-2.20240522.cn","A00000420560","24-315.11","241115_24-315.1-24-320.2","","N",2.38317460147313,50.3310569652714,21.119332563447,-1.35929699748509,-27.2245993756504,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ024.SILA20-1.20240529.cn","A00000420561","24-315.12","241115_24-315.1-24-320.2","","N",2.02896534591525,49.3280813823105,24.3119388320844,1.5180498098712,-29.4630967299134,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ025.SILA20-1.20240515.cn","A00000420570","24-315.13","241115_24-315.1-24-320.2","","N",2.00254911759291,49.9247547093951,24.9306018368255,1.01008945066268,-28.6019744503731,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ032.CLIP-1.20240514.cn","A00000420564","24-315.14","241115_24-315.1-24-320.2","","N",1.33147402313681,44.6144077906161,33.5075315142156,-3.54297278246179,-30.175967188434,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ034.CLIP-1.20240521.cn","A00000420572","24-315.15","241115_24-315.1-24-320.2","","N",1.56644949200772,45.7060588230851,29.1781248334433,-2.61335614664226,-21.6614760776673,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ040.JUVI-1.20240523.cn","A00000420577","24-315.16","241115_24-315.1-24-320.2","","N",1.20576814257216,51.415335306889,42.6411459148432,-1.95760024144529,-26.472825957004,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ040.JUVI-2.20240523.cn","A00000420575","24-315.17","241115_24-315.1-24-320.2","","N",1.10883682549662,50.3524320707437,45.4101369227092,-2.74123273816041,-25.8672014966679,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ040.QUST-3.20240523.cn","A00000420552","24-315.18","241115_24-315.1-24-320.2","","N",2.01314790187754,49.3848409868998,24.5311538912971,-3.35581346727588,-28.5872544114066,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ040.QUST-4.20240523.cn","A00000420553","24-315.19","241115_24-315.1-24-320.2","","N",1.83625742844206,50.091995915542,27.2793972891054,-3.1912660531067,-29.2443990081254,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-15,"cfc.CLBJ001.QUMA3-1.20240515.cn","A00000420554","24-315.2","241115_24-315.1-24-320.2","","N",1.8446221129097,49.4190364786455,26.7908728474973,-1.97135509138272,-30.096058405473,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ041.CLIP-1.20240514.cn","A00000420628","24-315.20","241115_24-315.1-24-320.2","","N",1.28624967039363,45.6429904136042,35.4853271990625,-2.98557445232722,-28.7943863882923,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ041.QUST-2.20240604.cn","A00000420549","24-315.21","241115_24-315.1-24-320.2","","N",2.04665296757019,49.7403042585477,24.3032429272071,-2.79849344506191,-29.3579535944384,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ041.SILA20-1.20240604.cn","A00000420603","24-315.22","241115_24-315.1-24-320.2","","N",2.37980647223652,50.4767412800425,21.2104395331797,-1.61332598806486,-29.4704567493967,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ043.JUVI-1.20240524.cn","A00000420597","24-315.23","241115_24-315.1-24-320.2","","N",1.29067001577206,51.8228361162024,40.1518866037984,-3.68053729791982,-25.9965275533022,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ043.QUMA3-3.20240524.cn","A00000420624","24-315.24","241115_24-315.1-24-320.2","","N",1.85131459917553,51.2407493413431,27.6780344973041,-0.784296670474767,-29.612399982288,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ043.QUST-2.20240524.cn","A00000420618","24-315.25","241115_24-315.1-24-320.2","","N",1.65792733953631,48.7928300498793,29.430017158367,-3.112181727965,-29.1371530099409,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ044.CLIP-1.20240521.cn","A00000420595","24-315.26","241115_24-315.1-24-320.2","","N",1.09437464240464,46.4615153344678,42.4548536983452,-4.92252279036516,-29.6649715500255,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ045.ULCR-1.20240524.cn","A00000420580","24-315.27","241115_24-315.1-24-320.2","","N",1.75424461867446,45.3387352772289,25.8451613843272,-1.80120860202571,-29.3884451037262,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-16,"cfc.CLBJ045.ULCR-2.20240524.cn","A00000420602","24-315.28","241115_24-315.1-24-320.2","","N",1.66909831106752,46.1268171180511,27.6357700515252,-3.64513185879593,-28.0499729891292,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
2024-11-17,"cfc.CLBJ045.ULCR-3.20240524.cn","A00000420589","24-315.29","241115_24-315.1-24-320.2","","N",1.9861942110563,46.3805104813707,23.3514478207569,-1.58942683360907,-27.9816299510705,1,0,0,0,0,"","NEON_vegIso_SOP v.2","Delta Advantage coupled with EA via Conflo III","schakraborty","schakraborty"
