"analysisDate","qaReferenceID","internalLabID","runID","nitrogenPercent","carbonPercent","CNratio","d15N","d13C","analyticalRepNumber","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","remarks","testMethod","instrument","analyzedBy","reviewedBy"
"20241203","Spinach",NA,"241203_24-379.1",5.65933085476691,40.323162175047,7.12507595152922,-0.00469935304310579,-27.6862352874419,1,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241203","Spinach",NA,"241203_24-379.1",6.21249171539346,40.6441716957372,6.54233012416388,-0.33471006335255,-27.2802363472338,2,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241203","Spinach",NA,"241203_24-379.1",6.15109232898573,40.551397617252,6.59255225712709,-0.336946745359654,-27.2367054447316,3,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241203","Spinach",NA,"241203_24-379.1",6.3031604612801,40.5101742193326,6.42696223080214,-0.0814826402006823,-27.6558358569288,4,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241203","Spinach",NA,"241203_24-379.1",6.17299291628288,40.4760916767156,6.55696389509039,-0.142160495431891,-27.335612152767,5,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241203","Spinach",NA,"241203_24-379.1",6.15145931282834,40.6351528172041,6.60577445947874,-0.174389733326303,-27.4543485514839,6,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241203","Spinach",NA,"241203_24-379.1",6.18013897056939,40.7028332581054,6.58607087185862,-0.185609985628851,-27.6978181243265,7,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241205","Spinach",NA,"241205_24-379.2",5.63024824015091,40.4081417641047,7.17697338386302,-0.358675151426406,-27.6543824536409,1,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241205","Spinach",NA,"241205_24-379.2",6.24621373996627,40.179455489445,6.4326097636329,-0.404244779821384,-27.5758126335624,2,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241205","Spinach",NA,"241205_24-379.2",6.19484877069955,40.5161876719902,6.54030294712343,-0.174829416557494,-27.2113359681978,3,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241205","Spinach",NA,"241205_24-379.2",6.04084941143892,40.657930957812,6.73049900578921,-0.416285721410488,-27.4710528734576,4,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
"20241205","Spinach",NA,"241205_24-379.2",5.8529492831363,40.2501828214202,6.87690613301405,-0.372492925962408,-27.5288889910154,5,0,0,0,0,"","NEON_vegIso_SOP.v1.0","Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface","schakraborty","gjbowen"
